tag,case,control,reason,environment,metric,mean,median,sample_sd,min,max
key0064,percpu_hash_lookup,lookup_control,64B-key per-CPU lookup endpoint,bpftime,instructions,3079.798859933,3079.785036800,0.132430085,3079.673883600,3079.937659400
key0064,percpu_hash_update,update_control,64B-key per-CPU update endpoint,kernel,cycles,181.808823733,181.685670200,0.234846756,181.661168800,182.079632200
key0064,percpu_hash_update,update_control,64B-key per-CPU update endpoint,bpftime,cycles,1102.899912267,1103.416102800,1.033434626,1101.710072600,1103.573561400
key0064,percpu_hash_update,update_control,64B-key per-CPU update endpoint,kernel,instructions,437.451468867,437.450580000,0.005207509,437.446763000,437.457063600
key0064,percpu_hash_update,update_control,64B-key per-CPU update endpoint,bpftime,instructions,3559.310015000,3559.311935000,0.120866038,3559.188200400,3559.429909600
val0256,hash_update,update_control,256B-value ordinary update endpoint,kernel,cycles,191.184909000,191.214204800,0.184742699,190.987268800,191.353253400
val0256,hash_update,update_control,256B-value ordinary update endpoint,bpftime,cycles,84.329300200,82.930627400,2.726677536,82.585778400,87.471494800
val0256,hash_update,update_control,256B-value ordinary update endpoint,kernel,instructions,427.832134333,427.832947200,0.001508615,427.830393600,427.833062200
val0256,hash_update,update_control,256B-value ordinary update endpoint,bpftime,instructions,295.655036067,295.573938400,0.158921741,295.553024400,295.838145400
val0256,percpu_hash_update,update_control,256B-value per-CPU update endpoint,kernel,cycles,141.213774333,141.216550800,0.082399990,141.130021200,141.294751000
val0256,percpu_hash_update,update_control,256B-value per-CPU update endpoint,bpftime,cycles,1772.936824067,1772.471191200,1.454277603,1771.772388600,1774.566892400
val0256,percpu_hash_update,update_control,256B-value per-CPU update endpoint,kernel,instructions,311.515746400,311.516344600,0.002771351,311.512724800,311.518169800
val0256,percpu_hash_update,update_control,256B-value per-CPU update endpoint,bpftime,instructions,5902.382023000,5902.637321200,0.552649602,5901.747877400,5902.760870400
