tag,family,active_keys,max_entries,key_size,value_size,environment,case,mean,median,sample_sd,min,max
val0064,value,512,1024,4,64,kernel,percpu_hash_update,61.959921920,61.971904000,0.061588778,61.882297600,62.025248000
val0064,value,512,1024,4,64,bpftime,percpu_hash_update,403.295918080,403.257689600,0.720708153,402.381312000,404.036089600
val0256,value,512,1024,4,256,kernel,hash_lookup,21.984702720,21.974016000,0.034564590,21.948236800,22.039046400
val0256,value,512,1024,4,256,bpftime,hash_lookup,44.643349760,44.359846400,0.737332982,44.061651200,45.901798400
val0256,value,512,1024,4,256,kernel,hash_update,111.067215360,111.063264000,0.178894450,110.888070400,111.268320000
val0256,value,512,1024,4,256,bpftime,hash_update,49.111938560,50.156780800,1.728048239,46.830188800,50.513811200
val0256,value,512,1024,4,256,kernel,percpu_hash_lookup,21.314580480,21.298028800,0.031773702,21.286956800,21.349862400
val0256,value,512,1024,4,256,bpftime,percpu_hash_lookup,153.540244480,153.506636800,0.355472061,153.261747200,154.135660800
val0256,value,512,1024,4,256,kernel,percpu_hash_update,81.955422720,81.933024000,0.074908008,81.870252800,82.063392000
val0256,value,512,1024,4,256,bpftime,percpu_hash_update,1027.558951680,1028.177324800,2.409923150,1024.438592000,1029.763968000
