tag,family,active_keys,max_entries,key_size,value_size,environment,run,case,real_ns_per_invocation,control_ns_per_invocation,net_ns_per_helper
lf0064,load,64,1024,4,8,bpftime,1,hash_update,37690.720000000,377.676800000,37.313043200
lf0064,load,64,1024,4,8,bpftime,1,percpu_hash_lookup,147385.350400000,1181.376000000,146.203974400
lf0064,load,64,1024,4,8,bpftime,1,percpu_hash_update,219268.582400000,377.676800000,218.890905600
lf0064,load,64,1024,4,8,bpftime,2,hash_lookup,40519.744000000,1181.683200000,39.338060800
lf0064,load,64,1024,4,8,bpftime,2,hash_update,37878.400000000,379.347200000,37.499052800
lf0064,load,64,1024,4,8,bpftime,2,percpu_hash_lookup,146692.902400000,1181.683200000,145.511219200
lf0064,load,64,1024,4,8,bpftime,2,percpu_hash_update,218991.756800000,379.347200000,218.612409600
lf0064,load,64,1024,4,8,bpftime,3,hash_lookup,40036.448000000,1178.464000000,38.857984000
lf0064,load,64,1024,4,8,bpftime,3,hash_update,37840.134400000,377.056000000,37.463078400
lf0064,load,64,1024,4,8,bpftime,3,percpu_hash_lookup,146766.918400000,1178.464000000,145.588454400
lf0064,load,64,1024,4,8,bpftime,3,percpu_hash_update,219687.212800000,377.056000000,219.310156800
lf0064,load,64,1024,4,8,bpftime,4,hash_lookup,40158.304000000,1182.233600000,38.976070400
lf0064,load,64,1024,4,8,bpftime,4,hash_update,37634.144000000,377.388800000,37.256755200
lf0064,load,64,1024,4,8,bpftime,4,percpu_hash_lookup,147026.739200000,1182.233600000,145.844505600
lf0064,load,64,1024,4,8,bpftime,4,percpu_hash_update,219271.993600000,377.388800000,218.894604800
lf0064,load,64,1024,4,8,bpftime,5,hash_lookup,39922.252800000,1180.057600000,38.742195200
lf0064,load,64,1024,4,8,bpftime,5,hash_update,37832.416000000,384.704000000,37.447712000
lf0064,load,64,1024,4,8,bpftime,5,percpu_hash_lookup,146796.435200000,1180.057600000,145.616377600
lf0064,load,64,1024,4,8,bpftime,5,percpu_hash_update,228075.219200000,384.704000000,227.690515200
lf0256,load,256,1024,4,8,kernel,1,hash_lookup,21627.571200000,2675.936000000,18.951635200
lf0256,load,256,1024,4,8,kernel,1,hash_update,87880.716800000,2394.323200000,85.486393600
lf0256,load,256,1024,4,8,kernel,1,percpu_hash_lookup,21931.865600000,2675.936000000,19.255929600
lf0256,load,256,1024,4,8,kernel,1,percpu_hash_update,64860.710400000,2394.323200000,62.466387200
lf0256,load,256,1024,4,8,kernel,2,hash_lookup,21648.518400000,2678.848000000,18.969670400
lf0256,load,256,1024,4,8,kernel,2,hash_update,87933.798400000,2403.264000000,85.530534400
lf0256,load,256,1024,4,8,kernel,2,percpu_hash_lookup,21959.635200000,2678.848000000,19.280787200
