tag,case,control,reason,environment,metric,run,iterations,real_count,control_count,net_per_helper
lf0512,hash_lookup,lookup_control,4B-key 8B-value ordinary lookup baseline,kernel,cycles,2,5000,231585436.000,44591104.000,37.398866400
lf0512,hash_lookup,lookup_control,4B-key 8B-value ordinary lookup baseline,kernel,cycles,3,5000,231795646.000,44412894.000,37.476550400
lf0512,hash_lookup,lookup_control,4B-key 8B-value ordinary lookup baseline,kernel,instructions,1,5000,725283994.000,123016671.000,120.453464600
lf0512,hash_lookup,lookup_control,4B-key 8B-value ordinary lookup baseline,kernel,instructions,2,5000,725341700.000,123026097.000,120.463120600
lf0512,hash_lookup,lookup_control,4B-key 8B-value ordinary lookup baseline,kernel,instructions,3,5000,725344249.000,123036677.000,120.461514400
lf0512,hash_lookup,lookup_control,4B-key 8B-value ordinary lookup baseline,bpftime,cycles,1,5000,586927487.000,213897174.000,74.606062600
lf0512,hash_lookup,lookup_control,4B-key 8B-value ordinary lookup baseline,bpftime,cycles,2,5000,585456353.000,210079344.000,75.075401800
lf0512,hash_lookup,lookup_control,4B-key 8B-value ordinary lookup baseline,bpftime,cycles,3,5000,581516120.000,209962899.000,74.310644200
lf0512,hash_lookup,lookup_control,4B-key 8B-value ordinary lookup baseline,bpftime,instructions,1,5000,1919085022.000,381423307.000,307.532343000
lf0512,hash_lookup,lookup_control,4B-key 8B-value ordinary lookup baseline,bpftime,instructions,2,5000,1918932506.000,380581395.000,307.670222200
lf0512,hash_lookup,lookup_control,4B-key 8B-value ordinary lookup baseline,bpftime,instructions,3,5000,1919175561.000,381039521.000,307.627208000
lf0512,hash_update,update_control,4B-key 8B-value ordinary update baseline,kernel,cycles,1,5000,803722047.000,41957778.000,152.352853800
lf0512,hash_update,update_control,4B-key 8B-value ordinary update baseline,kernel,cycles,2,5000,804162939.000,41971640.000,152.438259800
lf0512,hash_update,update_control,4B-key 8B-value ordinary update baseline,kernel,cycles,3,5000,802809364.000,42000661.000,152.161740600
lf0512,hash_update,update_control,4B-key 8B-value ordinary update baseline,kernel,instructions,1,5000,2068164338.000,123085159.000,389.015835800
lf0512,hash_update,update_control,4B-key 8B-value ordinary update baseline,kernel,instructions,2,5000,2068172957.000,123070537.000,389.020484000
lf0512,hash_update,update_control,4B-key 8B-value ordinary update baseline,kernel,instructions,3,5000,2068169444.000,123088031.000,389.016282600
lf0512,hash_update,update_control,4B-key 8B-value ordinary update baseline,bpftime,cycles,1,5000,559582107.000,204220236.000,71.072374200
lf0512,hash_update,update_control,4B-key 8B-value ordinary update baseline,bpftime,cycles,2,5000,558212375.000,202738565.000,71.094762000
lf0512,hash_update,update_control,4B-key 8B-value ordinary update baseline,bpftime,cycles,3,5000,558311023.000,202830468.000,71.096111000
lf0512,hash_update,update_control,4B-key 8B-value ordinary update baseline,bpftime,instructions,1,5000,1748728221.000,360936385.000,277.558367200
lf0512,hash_update,update_control,4B-key 8B-value ordinary update baseline,bpftime,instructions,2,5000,1748471169.000,360686225.000,277.556988800
lf0512,hash_update,update_control,4B-key 8B-value ordinary update baseline,bpftime,instructions,3,5000,1743740510.000,355329749.000,277.682152200
lf0512,percpu_hash_lookup,lookup_control,4B-key 8B-value per-CPU lookup baseline,kernel,cycles,1,5000,232309901.000,44658766.000,37.530227000
lf0512,percpu_hash_lookup,lookup_control,4B-key 8B-value per-CPU lookup baseline,kernel,cycles,2,5000,232654026.000,44401157.000,37.650573800
lf0512,percpu_hash_lookup,lookup_control,4B-key 8B-value per-CPU lookup baseline,kernel,cycles,3,5000,231939462.000,44287260.000,37.530440400
lf0512,percpu_hash_lookup,lookup_control,4B-key 8B-value per-CPU lookup baseline,kernel,instructions,1,5000,749476591.000,123043650.000,125.286588200
lf0512,percpu_hash_lookup,lookup_control,4B-key 8B-value per-CPU lookup baseline,kernel,instructions,2,5000,749499601.000,123023947.000,125.295130800
lf0512,percpu_hash_lookup,lookup_control,4B-key 8B-value per-CPU lookup baseline,kernel,instructions,3,5000,749460984.000,123028431.000,125.286510600
lf0512,percpu_hash_lookup,lookup_control,4B-key 8B-value per-CPU lookup baseline,bpftime,cycles,1,5000,1533438189.000,207472024.000,265.193233000
