operation,samples,mean_ns_per_helper,sample_stddev_ns,cv_percent,min_ns,max_ns,arm64_ns_per_helper,x64_over_arm64
array_lookup,5,0.928878,0.002245,0.242,0.926732,0.931412,1.384079,0.671116
array_update,5,32.877093,0.004039,0.012,32.873768,32.884126,10.951741,3.001997
hash_lookup,5,48.227523,0.066547,0.138,48.131477,48.310542,26.768945,1.801622
hash_update,5,127.492218,0.021983,0.017,127.474210,127.528758,90.822847,1.403746
