metric,run_count,control_value,real_value,control_per_program_run,real_per_program_run,real_minus_control_per_helper,control_enabled,control_running,real_enabled,real_running
cycles,80000,287224574,5824794014,3590.307175,72809.925175,69.219618,130832013,130832013,2654367444,2654367444
instructions,80000,778775716,9591367054,9734.69645,119892.088175,110.157391725,95105593,95105593,2653974599,2653974599
l1d_loads,80000,15351482,2018666267,191.893525,25233.3283375,25.0414348125,95099340,95099340,2727215784,2727215784
llc_misses,80000,27,511,0.0003375,0.0063875,6.05e-06,95396696,95396696,2726992186,2726992186
