map,operation,stat,pair,noop_wall_ns,real_wall_ns,net_wall_ns,noop_task-clock,real_task-clock,net_task-clock,noop_cycles,real_cycles,net_cycles,noop_instructions,real_instructions,net_instructions,noop_branches,real_branches,net_branches,noop_branch-misses,real_branch-misses,net_branch-misses,noop_cache-references,real_cache-references,net_cache-references,noop_cache-misses,real_cache-misses,net_cache-misses
array,lookup,pair,1,2.773515,12.716046,9.942531,2.933720930232558,12.874983388704319,9.94126245847176,6.3982463122923585,28.083874282392028,21.68562797009967,15.465729661129568,96.53920624916944,81.07347658803987,3.084905272425249,17.096097787375417,14.011192514950167,0.00228412292358804,0.002519299003322259,0.00023517607973421936,0.010590102990033223,0.01120646511627907,0.0006163621262458476,0.005733767441860465,0.005761571428571428,2.780398671096366e-05
array,lookup,pair,2,2.7725603333333333,12.787058333333333,10.014498,2.931661129568106,12.945481727574752,10.013820598006646,6.393864119601329,28.237219674418604,21.843355554817276,15.462091627906977,96.51031300332225,81.04822137541528,3.0836296312292357,17.088775096345515,14.005145465116279,0.002242495016611296,0.0024262225913621264,0.00018372757475083054,0.01066097342192691,0.011189076411960134,0.0005281029900332228,0.00543906976744186,0.005529976744186047,9.090697674418637e-05
array,lookup,pair,3,2.7770616666666665,12.761015,9.983953333333334,2.9366112956810633,12.91953488372093,9.982923588039867,6.404842551495016,28.180198335548173,21.775355784053158,15.463617644518273,96.48931690033223,81.02569925581395,3.0833064485049833,17.09292029900332,14.009613850498338,0.0026478704318936876,0.0024804451827242524,-0.0001674252491694352,0.010662239202657808,0.011147707641196013,0.00048546843853820507,0.005595943521594684,0.005750019933554817,0.00015407641196013306
array,lookup,pair,4,2.779227,12.820958666666666,10.041731666666665,2.939202657807309,12.98046511627907,10.041262458471762,6.409931468438538,28.31398831893688,21.904056850498343,15.472507388704319,96.55724651827242,81.0847391295681,3.085501315614618,17.08946756478405,14.003966249169434,0.002769890365448505,0.0024894152823920265,-0.00028047508305647844,0.010751558139534883,0.011758840531561461,0.0010072823920265778,0.005820637873754152,0.005859654485049834,3.901661129568183e-05
array,lookup,pair,5,2.778689,12.729742,9.951053,2.937043189368771,12.888571428571428,9.951528239202657,6.405948471760797,28.11306215282392,21.707113681063124,15.468690900332225,96.5553136744186,81.08662277408638,3.0838493255813955,17.094096863787374,14.010247538205979,0.0028096046511627906,0.0024661760797342193,-0.00034342857142857135,0.010597279069767441,0.011642335548172757,0.0010450564784053162,0.005581023255813953,0.005788661129568107,0.00020763787375415333
array,lookup,median,,2.7770616666666665,12.761015,9.983953333333334,2.9366112956810633,12.91953488372093,9.982923588039867,6.404842551495016,28.180198335548173,21.775355784053158,15.465729661129568,96.53920624916944,81.07347658803987,3.0838493255813955,17.09292029900332,14.009613850498338,0.0026478704318936876,0.0024804451827242524,-0.0001674252491694352,0.01066097342192691,0.01120646511627907,0.0006163621262458476,0.005595943521594684,0.005761571428571428,9.090697674418637e-05
array,lookup,min,,2.7725603333333333,12.716046,9.942531,2.931661129568106,12.874983388704319,9.94126245847176,6.393864119601329,28.083874282392028,21.68562797009967,15.462091627906977,96.48931690033223,81.02569925581395,3.0833064485049833,17.088775096345515,14.003966249169434,0.002242495016611296,0.0024262225913621264,-0.00034342857142857135,0.010590102990033223,0.011147707641196013,0.00048546843853820507,0.00543906976744186,0.005529976744186047,2.780398671096366e-05
array,lookup,max,,2.779227,12.820958666666666,10.041731666666665,2.939202657807309,12.98046511627907,10.041262458471762,6.409931468438538,28.31398831893688,21.904056850498343,15.472507388704319,96.55724651827242,81.08662277408638,3.085501315614618,17.096097787375417,14.011192514950167,0.0028096046511627906,0.002519299003322259,0.00023517607973421936,0.010751558139534883,0.011758840531561461,0.0010450564784053162,0.005820637873754152,0.005859654485049834,0.00020763787375415333
array,update,pair,1,2.7792293333333333,22.214277666666668,19.435048333333334,2.937740863787375,22.371627906976745,19.43388704318937,6.407314644518272,48.79866818272425,42.391353538205976,14.46540330564784,157.60393336212624,143.1385300564784,3.08200873089701,29.10663269435216,26.024623963455152,0.002693063122923588,0.0027097774086378736,1.6714285714285702e-05,0.010586308970099668,0.012467504983388705,0.0018811960132890364,0.005603139534883721,0.0059377441860465115,0.00033460465116279085
array,update,pair,2,2.772851333333333,22.208067,19.435215666666668,2.931594684385382,22.365116279069767,19.433521594684386,6.393895222591362,48.78409342524917,42.39019820265781,14.45825634219269,157.5812056744186,143.12294933222591,3.082880521594684,29.106229372093022,26.023348850498337,0.00226197342192691,0.0027331162790697676,0.0004711428571428575,0.010626365448504984,0.012313986710963455,0.0016876212624584719,0.005457691029900332,0.0059906578073089705,0.0005329667774086385
