map,operation,arm64_ns_per_helper,x64_ns_per_helper,x64_minus_arm64_ns_per_helper,x64_over_arm64_ns,arm64_cycles_per_helper,x64_cycles_per_helper,x64_minus_arm64_cycles_per_helper,x64_over_arm64_cycles,arm64_instructions_per_helper,x64_instructions_per_helper,x64_minus_arm64_instructions_per_helper,x64_over_arm64_instructions,arm64_kernel_ns_per_helper,x64_kernel_ns_per_helper,x64_minus_arm64_kernel_ns_per_helper,x64_over_arm64_kernel_ns,arm64_bpftime_over_kernel,x64_bpftime_over_kernel
array,lookup,10.062801,9.983953333333334,-0.07884766666666643,0.9921644414247418,17.374284,21.775355784053158,4.401071784053158,1.2533095340247207,84.999877,81.07347658803987,-3.926400411960131,0.9538069871329328,1.384079,0.515357,-0.8687220000000001,0.3723465206827066,7.2703949702293,19.37288779105229
array,update,14.506699,19.435215666666668,4.928516666666669,1.3397407409271171,25.04681,42.391353538205976,17.344543538205976,1.692485132366396,134.0002,143.1385300564784,9.138330056478395,1.0681963911731356,10.951741,18.791241,7.839499999999999,1.7158222605885218,1.3246020883802858,1.0342699381412153
hash,lookup,41.558263,75.67999133333333,34.12172833333334,1.8210576157461957,71.754,165.0726176557377,93.3186176557377,2.300535407862108,270.905,261.8050489508197,-9.099951049180277,0.9664090694185036,26.768945,25.919897,-0.8490479999999998,0.9682823510601557,1.5524804208757572,2.9197643545162753
hash,update,52.542704,84.321014,31.778310000000005,1.6048091853057278,90.725,183.93289183606558,93.20789183606558,2.0273672288351126,316.908,322.9137526885246,6.005752688524581,1.0189510920788512,90.822847,75.992031,-14.830815999999999,0.8367061098624227,0.5785185747370373,1.1096033740695785
