map,operation,stage,from_layer,to_layer,arm64_ns_per_op,x64_ns_per_op,x64_minus_arm64_ns_per_op,arm64_cycles_per_op,x64_cycles_per_op,x64_minus_arm64_cycles_per_op,arm64_instructions_per_op,x64_instructions_per_op,x64_minus_arm64_instructions_per_op
array,lookup,map_implementation,control,l0,0.228244,0.9225673333333333,0.6943233333333333,0.393101,2.009647528239203,1.6165465282392029,14.0,14.022456940199335,0.022456940199335307
array,lookup,handler,l0,l1,4.760319,6.450219,1.6898999999999997,8.219016,14.070866043189369,5.851850043189369,50.000001,44.02882803654485,-5.971172963455146
array,lookup,shared_memory_fd,l1,l2,4.9588019999999995,3.6866266666666663,-1.2721753333333332,8.562242,8.043954292358801,-0.518287707641198,34.000011,40.025441016611296,6.0254300166112955
array,lookup,final_helper,l2,l3,-1.0274070000000002,-0.4336666666666673,0.5937403333333329,-1.774303999999999,-0.9464728471760786,0.8278311528239204,-8.999999000000003,-13.99743808305648,-4.997439083056477
array,update,map_implementation,control,l0,2.771385,5.030765,2.2593799999999997,4.784692,10.973808073089701,6.189116073089702,48.0,43.07430767774086,-4.925692322259138
array,update,handler,l0,l1,6.1659559999999995,8.210742999999997,2.0447869999999977,10.646661,17.913850817275744,7.267189817275744,60.000012,61.01151714950166,1.0115051495016587
array,update,shared_memory_fd,l1,l2,5.940956999999999,5.107923000000005,-0.8330339999999943,10.257071999999999,11.14054719933555,0.8834751993355514,41.000001,50.039274382059816,9.039273382059818
array,update,final_helper,l2,l3,-1.7006569999999996,-1.850980666666672,-0.1503236666666723,-2.935768999999997,-4.035195302325583,-1.0994263023255861,-18.000000999999997,-26.012355986710986,-8.012354986710989
hash,lookup,spin_lock,control,lock,11.45099,13.337575666666666,1.886585666666667,19.813,29.058392129032256,9.245392129032258,43.0,23.061608774193548,-19.938391225806452
hash,lookup,map_implementation,lock,l0,24.96329,45.064511333333336,20.101221333333335,43.083,98.2375183548387,55.1545183548387,126.90799999999999,165.42208258064517,38.51408258064518
hash,lookup,handler,l0,l1,3.556701000000004,13.283666666666655,9.72696566666665,6.1299999999999955,29.093453806451635,22.96345380645164,79.0,48.652571451612886,-30.347428548387114
hash,lookup,shared_memory_fd,l1,l2,1.4442589999999953,2.8721186666666654,1.42785966666667,2.483000000000004,6.402833870967726,3.9198338709677216,34.00000000000003,39.20189693548383,5.201896935483802
hash,lookup,final_helper,l2,l3,-0.1540949999999981,9.344966,9.499060999999998,-0.25900000000000034,20.004330387096786,20.263330387096786,3.0,4.655573709677469,1.6555737096774692
hash,update,spin_lock,control,lock,14.445021,12.877889333333334,-1.5671316666666666,24.945,28.056242258064515,3.1112422580645145,43.0,23.035333032258063,-19.964666967741937
hash,update,map_implementation,lock,l0,23.374235000000002,49.34514499999999,25.970909999999986,40.36600000000001,107.65729064516131,67.2912906451613,160.908,197.88358574193552,36.97558574193553
hash,update,handler,l0,l1,9.423797,20.07764633333334,10.65384933333334,16.263999999999996,43.80330319354837,27.539303193548378,93.00000000000003,74.38284745161292,-18.61715254838711
hash,update,shared_memory_fd,l1,l2,5.3860969999999995,5.9737810000000025,0.587684000000003,9.301999999999992,13.028593354838705,3.7265933548387125,41.0,49.97034203225803,8.970342032258031
hash,update,final_helper,l2,l3,0.5697669999999988,-3.5747506666666595,-4.144517666666658,0.9860000000000042,-7.766524709677412,-8.752524709677417,0.0,-2.9695927419354575,-2.9695927419354575
