family,mode,run,case,net_ns_per_helper
array,percpu_array_no_copy,2,percpu_array_lookup,21.954598400
array,percpu_array_no_copy,3,percpu_array_lookup,22.697201280
array,percpu_array_no_copy,4,percpu_array_lookup,21.944028160
array,percpu_array_no_copy,5,percpu_array_lookup,21.925523840
array,percpu_array_no_copy,1,percpu_array_update,23.257719040
array,percpu_array_no_copy,2,percpu_array_update,23.326167680
array,percpu_array_no_copy,3,percpu_array_update,24.233681280
array,percpu_array_no_copy,4,percpu_array_update,23.358018560
array,percpu_array_no_copy,5,percpu_array_update,23.306515840
array,percpu_hash_lookup_no_find,1,array_lookup,15.200696320
array,percpu_hash_lookup_no_find,2,array_lookup,15.410910080
array,percpu_hash_lookup_no_find,3,array_lookup,15.357763840
array,percpu_hash_lookup_no_find,4,array_lookup,15.232615040
array,percpu_hash_lookup_no_find,5,array_lookup,15.215852160
array,percpu_hash_lookup_no_find,1,array_update,19.972531840
array,percpu_hash_lookup_no_find,2,array_update,20.068403840
array,percpu_hash_lookup_no_find,3,array_update,20.068334080
array,percpu_hash_lookup_no_find,4,array_update,20.025193600
array,percpu_hash_lookup_no_find,5,array_update,20.086549120
array,percpu_hash_lookup_no_find,1,percpu_array_lookup,26.664798720
array,percpu_hash_lookup_no_find,2,percpu_array_lookup,26.997554560
array,percpu_hash_lookup_no_find,3,percpu_array_lookup,26.993401600
array,percpu_hash_lookup_no_find,4,percpu_array_lookup,26.801080960
array,percpu_hash_lookup_no_find,5,percpu_array_lookup,26.775255040
array,percpu_hash_lookup_no_find,1,percpu_array_update,71.388403840
array,percpu_hash_lookup_no_find,2,percpu_array_update,71.462480640
array,percpu_hash_lookup_no_find,3,percpu_array_update,71.567370880
array,percpu_hash_lookup_no_find,4,percpu_array_update,71.212098560
array,percpu_hash_lookup_no_find,5,percpu_array_update,71.556544000
array,percpu_hash_update_no_find,1,array_lookup,15.397090560
array,percpu_hash_update_no_find,2,array_lookup,15.357370240
array,percpu_hash_update_no_find,3,array_lookup,15.396333440
array,percpu_hash_update_no_find,4,array_lookup,15.259259520
array,percpu_hash_update_no_find,5,array_lookup,15.214473600
array,percpu_hash_update_no_find,1,array_update,20.134531840
array,percpu_hash_update_no_find,2,array_update,20.075873280
array,percpu_hash_update_no_find,3,array_update,19.853111040
array,percpu_hash_update_no_find,4,array_update,19.995480960
array,percpu_hash_update_no_find,5,array_update,20.082062080
array,percpu_hash_update_no_find,1,percpu_array_lookup,27.011020800
array,percpu_hash_update_no_find,2,percpu_array_lookup,26.979846400
array,percpu_hash_update_no_find,3,percpu_array_lookup,26.839377920
array,percpu_hash_update_no_find,4,percpu_array_lookup,26.820099840
array,percpu_hash_update_no_find,5,percpu_array_lookup,26.792288000
array,percpu_hash_update_no_find,1,percpu_array_update,71.460177920
array,percpu_hash_update_no_find,2,percpu_array_update,71.499378560
array,percpu_hash_update_no_find,3,percpu_array_update,71.215155840
array,percpu_hash_update_no_find,4,percpu_array_update,71.283620480
array,percpu_hash_update_no_find,5,percpu_array_update,71.401212800
array,percpu_hash_update_no_copy,1,array_lookup,15.384979200
array,percpu_hash_update_no_copy,2,array_lookup,15.374407680
array,percpu_hash_update_no_copy,3,array_lookup,15.364713600
array,percpu_hash_update_no_copy,4,array_lookup,15.196855040
array,percpu_hash_update_no_copy,5,array_lookup,15.252862080
array,percpu_hash_update_no_copy,1,array_update,20.088152960
array,percpu_hash_update_no_copy,2,array_update,19.864549760
array,percpu_hash_update_no_copy,3,array_update,20.086330880
array,percpu_hash_update_no_copy,4,array_update,19.975513600
array,percpu_hash_update_no_copy,5,array_update,20.058926080
array,percpu_hash_update_no_copy,1,percpu_array_lookup,27.023159040
array,percpu_hash_update_no_copy,2,percpu_array_lookup,26.875260160
array,percpu_hash_update_no_copy,3,percpu_array_lookup,26.933463680
array,percpu_hash_update_no_copy,4,percpu_array_lookup,26.656531840
array,percpu_hash_update_no_copy,5,percpu_array_lookup,26.825328640
array,percpu_hash_update_no_copy,1,percpu_array_update,71.511752320
array,percpu_hash_update_no_copy,2,percpu_array_update,71.244917760
array,percpu_hash_update_no_copy,3,percpu_array_update,71.805980160
array,percpu_hash_update_no_copy,4,percpu_array_update,71.244058240
array,percpu_hash_update_no_copy,5,percpu_array_update,71.303162880
hash,base,1,hash_lookup,59.437715200
hash,base,2,hash_lookup,59.521243200
hash,base,3,hash_lookup,61.138608000
hash,base,4,hash_lookup,59.441496000
hash,base,5,hash_lookup,60.509459200
hash,base,1,hash_update,56.776099200
hash,base,2,hash_update,56.734940800
hash,base,3,hash_update,56.892788800
hash,base,4,hash_update,56.851321600
hash,base,5,hash_update,57.009171200
hash,base,1,percpu_hash_lookup,165.430324800
hash,base,2,percpu_hash_lookup,165.456073600
hash,base,3,percpu_hash_lookup,165.473238400
hash,base,4,percpu_hash_lookup,165.854291200
hash,base,5,percpu_hash_lookup,165.149404800
hash,base,1,percpu_hash_update,238.309851200
hash,base,2,percpu_hash_update,238.369548800
hash,base,3,percpu_hash_update,237.547732800
hash,base,4,percpu_hash_update,238.441208000
hash,base,5,percpu_hash_update,239.150611200
hash,cache_control,1,hash_lookup,62.590324800
hash,cache_control,2,hash_lookup,63.439035200
hash,cache_control,3,hash_lookup,63.579115200
hash,cache_control,4,hash_lookup,63.672364800
hash,cache_control,5,hash_lookup,63.423524800
hash,cache_control,1,hash_update,60.446124800
hash,cache_control,2,hash_update,60.562580800
hash,cache_control,3,hash_update,60.693558400
hash,cache_control,4,hash_update,60.519868800
hash,cache_control,5,hash_update,60.438124800
hash,cache_control,1,percpu_hash_lookup,172.447400000
hash,cache_control,2,percpu_hash_lookup,172.378140800
hash,cache_control,3,percpu_hash_lookup,172.319870400
hash,cache_control,4,percpu_hash_lookup,172.088836800
hash,cache_control,5,percpu_hash_lookup,172.309094400
hash,cache_control,1,percpu_hash_update,244.809440000
hash,cache_control,2,percpu_hash_update,245.042588800
hash,cache_control,3,percpu_hash_update,244.766355200
hash,cache_control,4,percpu_hash_update,245.232280000
hash,cache_control,5,percpu_hash_update,244.752209600
hash,cached_handler,1,hash_lookup,61.222094400
hash,cached_handler,2,hash_lookup,61.242902400
hash,cached_handler,3,hash_lookup,61.249310400
hash,cached_handler,4,hash_lookup,62.319332800
hash,cached_handler,5,hash_lookup,62.519576000
hash,cached_handler,1,hash_update,58.636233600
hash,cached_handler,2,hash_update,58.579219200
hash,cached_handler,3,hash_update,58.681897600
hash,cached_handler,4,hash_update,58.576720000
hash,cached_handler,5,hash_update,58.646654400
hash,cached_handler,1,percpu_hash_lookup,168.489211200
hash,cached_handler,2,percpu_hash_lookup,168.931584000
hash,cached_handler,3,percpu_hash_lookup,168.324180800
hash,cached_handler,4,percpu_hash_lookup,168.839638400
hash,cached_handler,5,percpu_hash_lookup,167.156852800
hash,cached_handler,1,percpu_hash_update,241.407672000
hash,cached_handler,2,percpu_hash_update,241.640123200
hash,cached_handler,3,percpu_hash_update,241.144987200
hash,cached_handler,4,percpu_hash_update,241.659024000
hash,cached_handler,5,percpu_hash_update,238.161870400
hash,direct_map,1,hash_lookup,61.675723200
hash,direct_map,2,hash_lookup,62.407592000
hash,direct_map,3,hash_lookup,61.865172800
hash,direct_map,4,hash_lookup,62.174788800
hash,direct_map,5,hash_lookup,61.980902400
hash,direct_map,1,hash_update,59.011620800
hash,direct_map,2,hash_update,59.199505600
hash,direct_map,3,hash_update,59.046240000
hash,direct_map,4,hash_update,59.330560000
hash,direct_map,5,hash_update,59.178369600
hash,direct_map,1,percpu_hash_lookup,160.305416000
hash,direct_map,2,percpu_hash_lookup,160.574728000
hash,direct_map,3,percpu_hash_lookup,161.366401600
hash,direct_map,4,percpu_hash_lookup,161.285516800
hash,direct_map,5,percpu_hash_lookup,160.166440000
hash,direct_map,1,percpu_hash_update,232.370617600
hash,direct_map,2,percpu_hash_update,233.168480000
hash,direct_map,3,percpu_hash_update,232.548246400
hash,direct_map,4,percpu_hash_update,232.835510400
hash,direct_map,5,percpu_hash_update,232.371638400
hash,percpu_array_direct,1,hash_lookup,60.093531200
hash,percpu_array_direct,2,hash_lookup,59.941715200
hash,percpu_array_direct,3,hash_lookup,59.375075200
hash,percpu_array_direct,4,hash_lookup,60.040524800
hash,percpu_array_direct,5,hash_lookup,60.230760000
hash,percpu_array_direct,1,hash_update,56.897622400
hash,percpu_array_direct,2,hash_update,57.098430400
hash,percpu_array_direct,3,hash_update,56.832475200
hash,percpu_array_direct,4,hash_update,56.888371200
hash,percpu_array_direct,5,hash_update,56.748945600
hash,percpu_array_direct,1,percpu_hash_lookup,165.946256000
hash,percpu_array_direct,2,percpu_hash_lookup,165.851140800
hash,percpu_array_direct,3,percpu_hash_lookup,165.454606400
hash,percpu_array_direct,4,percpu_hash_lookup,165.436192000
hash,percpu_array_direct,5,percpu_hash_lookup,165.669680000
hash,percpu_array_direct,1,percpu_hash_update,238.357563200
hash,percpu_array_direct,2,percpu_hash_update,238.012048000
hash,percpu_array_direct,3,percpu_hash_update,238.446067200
hash,percpu_array_direct,4,percpu_hash_update,238.211262400
hash,percpu_array_direct,5,percpu_hash_update,238.503116800
hash,percpu_array_fixed_cpu,1,hash_lookup,60.992921600
hash,percpu_array_fixed_cpu,2,hash_lookup,59.558684800
hash,percpu_array_fixed_cpu,3,hash_lookup,59.225468800
hash,percpu_array_fixed_cpu,4,hash_lookup,59.851620800
hash,percpu_array_fixed_cpu,5,hash_lookup,59.378888000
hash,percpu_array_fixed_cpu,1,hash_update,57.002425600
hash,percpu_array_fixed_cpu,2,hash_update,57.064052800
hash,percpu_array_fixed_cpu,3,hash_update,56.843604800
hash,percpu_array_fixed_cpu,4,hash_update,57.065740800
hash,percpu_array_fixed_cpu,5,hash_update,56.780235200
hash,percpu_array_fixed_cpu,1,percpu_hash_lookup,165.154928000
hash,percpu_array_fixed_cpu,2,percpu_hash_lookup,165.346966400
hash,percpu_array_fixed_cpu,3,percpu_hash_lookup,165.555291200
hash,percpu_array_fixed_cpu,4,percpu_hash_lookup,165.864966400
hash,percpu_array_fixed_cpu,5,percpu_hash_lookup,165.935772800
hash,percpu_array_fixed_cpu,1,percpu_hash_update,238.051699200
hash,percpu_array_fixed_cpu,2,percpu_hash_update,237.801052800
hash,percpu_array_fixed_cpu,3,percpu_hash_update,238.305059200
hash,percpu_array_fixed_cpu,4,percpu_hash_update,237.927852800
hash,percpu_array_fixed_cpu,5,percpu_hash_update,238.398846400
hash,percpu_array_no_copy,1,hash_lookup,59.488102400
hash,percpu_array_no_copy,2,hash_lookup,59.521332800
hash,percpu_array_no_copy,3,hash_lookup,59.956094400
hash,percpu_array_no_copy,4,hash_lookup,59.857804800
hash,percpu_array_no_copy,5,hash_lookup,59.526513600
hash,percpu_array_no_copy,1,hash_update,56.836784000
hash,percpu_array_no_copy,2,hash_update,57.103192000
hash,percpu_array_no_copy,3,hash_update,56.899523200
hash,percpu_array_no_copy,4,hash_update,57.314372800
hash,percpu_array_no_copy,5,hash_update,56.868064000
hash,percpu_array_no_copy,1,percpu_hash_lookup,165.039665600
hash,percpu_array_no_copy,2,percpu_hash_lookup,165.302739200
hash,percpu_array_no_copy,3,percpu_hash_lookup,165.828353600
hash,percpu_array_no_copy,4,percpu_hash_lookup,166.259470400
hash,percpu_array_no_copy,5,percpu_hash_lookup,166.120547200
hash,percpu_array_no_copy,1,percpu_hash_update,238.530883200
