family,case,mode,run,metric,value_per_helper
array,percpu_array_update,percpu_array_direct,03,instructions,305.182876500
array,percpu_array_update,percpu_array_fixed_cpu,01,cycles,58.016379900
array,percpu_array_update,percpu_array_fixed_cpu,01,instructions,275.448633700
array,percpu_array_update,percpu_array_fixed_cpu,02,cycles,57.783452850
array,percpu_array_update,percpu_array_fixed_cpu,02,instructions,275.462473300
array,percpu_array_update,percpu_array_fixed_cpu,03,cycles,57.969154750
array,percpu_array_update,percpu_array_fixed_cpu,03,instructions,275.463682850
array,percpu_array_update,percpu_array_no_copy,01,cycles,55.893008900
array,percpu_array_update,percpu_array_no_copy,01,instructions,266.310920950
array,percpu_array_update,percpu_array_no_copy,02,cycles,55.919526850
array,percpu_array_update,percpu_array_no_copy,02,instructions,266.301989500
array,percpu_array_update,percpu_array_no_copy,03,cycles,55.977032750
array,percpu_array_update,percpu_array_no_copy,03,instructions,266.321291900
hash,percpu_hash_lookup,base,01,cycles,339.352257950
hash,percpu_hash_lookup,base,01,instructions,1191.142126100
hash,percpu_hash_lookup,base,02,cycles,340.952012200
hash,percpu_hash_lookup,base,02,instructions,1190.550253750
hash,percpu_hash_lookup,base,03,cycles,341.107238150
hash,percpu_hash_lookup,base,03,instructions,1190.562496500
hash,percpu_hash_lookup,cache_control,01,cycles,353.884570350
hash,percpu_hash_lookup,cache_control,01,instructions,1239.833499050
hash,percpu_hash_lookup,cache_control,02,cycles,354.490245100
hash,percpu_hash_lookup,cache_control,02,instructions,1239.884864800
hash,percpu_hash_lookup,cache_control,03,cycles,353.868546100
hash,percpu_hash_lookup,cache_control,03,instructions,1239.871592000
hash,percpu_hash_lookup,cached_handler,01,cycles,347.009779850
hash,percpu_hash_lookup,cached_handler,01,instructions,1213.468202850
hash,percpu_hash_lookup,cached_handler,02,cycles,346.942654700
hash,percpu_hash_lookup,cached_handler,02,instructions,1213.459682750
hash,percpu_hash_lookup,cached_handler,03,cycles,346.424695200
hash,percpu_hash_lookup,cached_handler,03,instructions,1213.464568050
hash,percpu_hash_lookup,direct_map,01,cycles,332.210979950
hash,percpu_hash_lookup,direct_map,01,instructions,1172.163659400
hash,percpu_hash_lookup,direct_map,02,cycles,332.764388850
hash,percpu_hash_lookup,direct_map,02,instructions,1172.208816600
hash,percpu_hash_lookup,direct_map,03,cycles,331.737016750
hash,percpu_hash_lookup,direct_map,03,instructions,1172.209186350
hash,percpu_hash_lookup,percpu_hash_lookup_no_find,01,cycles,120.678906750
hash,percpu_hash_lookup,percpu_hash_lookup_no_find,01,instructions,513.834045500
hash,percpu_hash_lookup,percpu_hash_lookup_no_find,02,cycles,120.545211350
hash,percpu_hash_lookup,percpu_hash_lookup_no_find,02,instructions,513.772389250
hash,percpu_hash_lookup,percpu_hash_lookup_no_find,03,cycles,120.450176300
hash,percpu_hash_lookup,percpu_hash_lookup_no_find,03,instructions,513.771620300
hash,percpu_hash_update,base,01,cycles,464.965226750
hash,percpu_hash_update,base,01,instructions,1641.667251050
hash,percpu_hash_update,base,02,cycles,464.668254100
hash,percpu_hash_update,base,02,instructions,1641.641867500
hash,percpu_hash_update,base,03,cycles,464.520540850
hash,percpu_hash_update,base,03,instructions,1641.639661000
hash,percpu_hash_update,cache_control,01,cycles,477.804986200
hash,percpu_hash_update,cache_control,01,instructions,1692.004013050
hash,percpu_hash_update,cache_control,02,cycles,477.144912600
hash,percpu_hash_update,cache_control,02,instructions,1692.033720050
hash,percpu_hash_update,cache_control,03,cycles,477.569416700
hash,percpu_hash_update,cache_control,03,instructions,1691.968847000
hash,percpu_hash_update,cached_handler,01,cycles,470.540456800
hash,percpu_hash_update,cached_handler,01,instructions,1665.607173750
hash,percpu_hash_update,cached_handler,02,cycles,471.874325650
hash,percpu_hash_update,cached_handler,02,instructions,1665.672495150
hash,percpu_hash_update,cached_handler,03,cycles,471.685041900
hash,percpu_hash_update,cached_handler,03,instructions,1665.577338400
hash,percpu_hash_update,direct_map,01,cycles,453.404722500
hash,percpu_hash_update,direct_map,01,instructions,1621.300005150
hash,percpu_hash_update,direct_map,02,cycles,454.646216300
hash,percpu_hash_update,direct_map,02,instructions,1621.385351800
hash,percpu_hash_update,direct_map,03,cycles,454.147667850
hash,percpu_hash_update,direct_map,03,instructions,1621.302179700
hash,percpu_hash_update,percpu_hash_update_no_copy,01,cycles,363.609118550
hash,percpu_hash_update,percpu_hash_update_no_copy,01,instructions,1248.854657350
hash,percpu_hash_update,percpu_hash_update_no_copy,02,cycles,363.902225900
hash,percpu_hash_update,percpu_hash_update_no_copy,02,instructions,1248.885553500
hash,percpu_hash_update,percpu_hash_update_no_copy,03,cycles,363.156506400
hash,percpu_hash_update,percpu_hash_update_no_copy,03,instructions,1248.885466050
hash,percpu_hash_update,percpu_hash_update_no_find,01,cycles,144.717186000
hash,percpu_hash_update,percpu_hash_update_no_find,01,instructions,650.800237250
hash,percpu_hash_update,percpu_hash_update_no_find,02,cycles,144.752022300
hash,percpu_hash_update,percpu_hash_update_no_find,02,instructions,650.788819700
hash,percpu_hash_update,percpu_hash_update_no_find,03,cycles,144.851267200
hash,percpu_hash_update,percpu_hash_update_no_find,03,instructions,650.770542300
