mode,mean_ns_per_helper,median,sample_sd,min,max
base,998.562963200,998.253056000,1.090764515,997.541376000,1000.125184000
percpu_hash_delete_defer_reclaim,211.975014400,212.113696000,0.377712916,211.309472000,212.240608000
synchronous_reclamation_saving,786.587948800,786.103712000,1.214507045,785.427680000,787.897152000
