family,mode,case,mean_ns_per_helper,median,sample_sd,min,max,saving_vs_base
hash,percpu_array_direct,percpu_hash_lookup,165.671575040,165.669680000,0.229225680,165.436192000,165.946256000,-0.198908480
hash,percpu_array_direct,percpu_hash_update,238.306011520,238.357563200,0.197810267,238.012048000,238.503116800,0.057778880
hash,percpu_array_fixed_cpu,hash_lookup,59.801516800,59.558684800,0.705579476,59.225468800,60.992921600,0.208187520
hash,percpu_array_fixed_cpu,hash_update,56.951211840,57.002425600,0.131610316,56.780235200,57.065740800,-0.098347520
hash,percpu_array_fixed_cpu,percpu_hash_lookup,165.571584960,165.555291200,0.332801539,165.154928000,165.935772800,-0.098918400
hash,percpu_array_fixed_cpu,percpu_hash_update,238.096902080,238.051699200,0.251320271,237.801052800,238.398846400,0.266888320
hash,percpu_array_no_copy,hash_lookup,59.669969600,59.526513600,0.219600583,59.488102400,59.956094400,0.339734720
hash,percpu_array_no_copy,hash_update,57.004387200,56.899523200,0.202190978,56.836784000,57.314372800,-0.151522880
hash,percpu_array_no_copy,percpu_hash_lookup,165.710155200,165.828353600,0.524329034,165.039665600,166.259470400,-0.237488640
hash,percpu_array_no_copy,percpu_hash_update,238.308912000,238.374921600,0.235056327,237.970091200,238.530883200,0.054878400
hash,percpu_hash_lookup_no_find,hash_lookup,59.666733120,59.609516800,0.352269596,59.174603200,60.053473600,0.342971200
hash,percpu_hash_lookup_no_find,hash_update,56.977777920,57.017363200,0.159284912,56.791928000,57.128116800,-0.124913600
hash,percpu_hash_lookup_no_find,percpu_hash_lookup,43.804479360,43.788814400,0.052002605,43.742777600,43.881457600,121.668187200
hash,percpu_hash_lookup_no_find,percpu_hash_update,238.410181120,238.322560000,0.388514693,238.017403200,239.049737600,-0.046390720
hash,percpu_hash_update_no_find,hash_lookup,59.780582080,59.710651200,0.210862456,59.553467200,60.039777600,0.229122240
hash,percpu_hash_update_no_find,hash_update,57.067200960,57.042076800,0.107580954,56.933278400,57.182708800,-0.214336640
hash,percpu_hash_update_no_find,percpu_hash_lookup,165.312044480,165.321257600,0.540055953,164.456217600,165.910950400,0.160622080
hash,percpu_hash_update_no_find,percpu_hash_update,61.927191040,61.441166400,0.812616042,61.379856000,63.280376000,176.436599360
hash,percpu_hash_update_no_copy,hash_lookup,60.345731200,60.390580800,0.673998582,59.332172800,61.128406400,-0.336026880
hash,percpu_hash_update_no_copy,hash_update,57.077017920,56.932273600,0.298439566,56.816539200,57.556054400,-0.224153600
hash,percpu_hash_update_no_copy,percpu_hash_lookup,165.573681920,166.066667200,0.773108476,164.354244800,166.110526400,-0.101015360
hash,percpu_hash_update_no_copy,percpu_hash_update,182.557923200,182.558908800,0.194031882,182.309636800,182.785400000,55.805867200
