value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
16,ctrl,1,20000,42826016,2141.300800
16,real,1,20000,229382208,11469.110400
16,real-minus-control,1,20000,0,9.327810
16,real,2,20000,229399776,11469.988800
16,ctrl,2,20000,43030304,2151.515200
16,real-minus-control,2,20000,0,9.318474
16,ctrl,3,20000,42823232,2141.161600
16,real,3,20000,229407968,11470.398400
16,real-minus-control,3,20000,0,9.329237
16,real,4,20000,229393888,11469.694400
16,ctrl,4,20000,42952864,2147.643200
16,real-minus-control,4,20000,0,9.322051
16,ctrl,5,20000,43009120,2150.456000
16,real,5,20000,229406784,11470.339200
16,real-minus-control,5,20000,0,9.319883
