value_size,rounds,mean_ns_per_helper,median,stdev,min,max
8,5,8.978226200,8.978510000,0.000866762,8.977339000,8.979362000
16,5,9.211899200,9.210747000,0.002926468,9.209512000,9.216562000
32,5,9.411484600,9.412774000,0.004240481,9.406154000,9.416670000
64,5,10.412345400,10.412107000,0.005554091,10.404218000,10.419570000
128,5,13.831273400,13.830858000,0.003483332,13.826024000,13.835224000
256,5,25.462973200,25.451934000,0.025998615,25.438430000,25.497222000
