value_size,wall_ns_per_helper,cycles_per_helper,instructions_per_helper,l1d_loads_per_helper,llc_misses_per_helper,nominal_cycles_at_1_728GHz
8,8.978226200,15.520962772,69.016384188,20.001578713,0.000071564,15.514374874
16,9.211899200,16.157440584,67.013620960,19.999934782,0.000083277,15.918161818
32,9.411484600,16.246887931,68.051134584,19.999578743,0.000093614,16.263045389
64,10.412345400,18.194939297,72.021115208,23.990391188,0.000102040,17.992532851
128,13.831273400,23.767035693,82.017271337,31.998182693,0.000436079,23.900440435
256,25.462973200,43.783142535,108.013377297,50.008275931,0.001270218,44.000017690
