value_size,control_xlated_lines,real_xlated_lines,xlated_delta,control_jit_instructions,real_jit_instructions,jit_delta
8,16,19,3,44,54,10
16,30,33,3,58,66,8
32,46,49,3,74,84,10
64,78,81,3,106,116,10
128,142,145,3,170,180,10
256,270,273,3,298,308,10
