map_kind,operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array,array_lookup,control,5,20000,24268288,1213.414400000
array,array_lookup,real,5,20000,53302304,2665.115200000
array,array_lookup,real-minus-control,5,20000,0,1.451700800
array,array_update,control,5,20000,21140512,1057.025600000
array,array_update,real,5,20000,238232352,11911.617600000
array,array_update,real-minus-control,5,20000,0,10.854592000
percpu_array,array_lookup,control,5,20000,23941312,1197.065600000
percpu_array,array_lookup,real,5,20000,65141312,3257.065600000
percpu_array,array_lookup,real-minus-control,5,20000,0,2.060000000
percpu_array,array_update,control,5,20000,18868320,943.416000000
percpu_array,array_update,real,5,20000,309894528,15494.726400000
percpu_array,array_update,real-minus-control,5,20000,0,14.551310400
hash,hash_lookup,control,5,20000,24694848,1234.742400000
hash,hash_lookup,real,5,20000,548610784,27430.539200000
hash,hash_lookup,real-minus-control,5,20000,0,26.195796800
hash,hash_update,control,5,20000,20937824,1046.891200000
hash,hash_update,real,5,20000,1874343584,93717.179200000
hash,hash_update,real-minus-control,5,20000,0,92.670288000
percpu_hash,hash_lookup,control,5,20000,23951360,1197.568000000
percpu_hash,hash_lookup,real,5,20000,563637120,28181.856000000
percpu_hash,hash_lookup,real-minus-control,5,20000,0,26.984288000
percpu_hash,hash_update,control,5,20000,17406816,870.340800000
percpu_hash,hash_update,real,5,20000,1345023712,67251.185600000
percpu_hash,hash_update,real-minus-control,5,20000,0,66.380844800
array,array_lookup,real,6,20000,53198432,2659.921600000
array,array_lookup,control,6,20000,24295328,1214.766400000
array,array_lookup,real-minus-control,6,20000,0,1.445155200
array,array_update,real,6,20000,238231456,11911.572800000
array,array_update,control,6,20000,21180704,1059.035200000
array,array_update,real-minus-control,6,20000,0,10.852537600
percpu_array,array_lookup,real,6,20000,65169760,3258.488000000
percpu_array,array_lookup,control,6,20000,23965696,1198.284800000
percpu_array,array_lookup,real-minus-control,6,20000,0,2.060203200
percpu_array,array_update,real,6,20000,309763488,15488.174400000
percpu_array,array_update,control,6,20000,18858016,942.900800000
percpu_array,array_update,real-minus-control,6,20000,0,14.545273600
hash,hash_lookup,real,6,20000,546467328,27323.366400000
hash,hash_lookup,control,6,20000,24708608,1235.430400000
hash,hash_lookup,real-minus-control,6,20000,0,26.087936000
hash,hash_update,real,6,20000,1874054976,93702.748800000
hash,hash_update,control,6,20000,20974784,1048.739200000
hash,hash_update,real-minus-control,6,20000,0,92.654009600
percpu_hash,hash_lookup,real,6,20000,564611392,28230.569600000
percpu_hash,hash_lookup,control,6,20000,24006368,1200.318400000
percpu_hash,hash_lookup,real-minus-control,6,20000,0,27.030251200
percpu_hash,hash_update,real,6,20000,1345570528,67278.526400000
percpu_hash,hash_update,control,6,20000,17392000,869.600000000
percpu_hash,hash_update,real-minus-control,6,20000,0,66.408926400
array,array_lookup,control,7,20000,24241728,1212.086400000
array,array_lookup,real,7,20000,53231552,2661.577600000
array,array_lookup,real-minus-control,7,20000,0,1.449491200
array,array_update,control,7,20000,21095296,1054.764800000
array,array_update,real,7,20000,238194848,11909.742400000
array,array_update,real-minus-control,7,20000,0,10.854977600
percpu_array,array_lookup,control,7,20000,23957664,1197.883200000
percpu_array,array_lookup,real,7,20000,65133248,3256.662400000
percpu_array,array_lookup,real-minus-control,7,20000,0,2.058779200
percpu_array,array_update,control,7,20000,18836768,941.838400000
percpu_array,array_update,real,7,20000,309706560,15485.328000000
percpu_array,array_update,real-minus-control,7,20000,0,14.543489600
hash,hash_lookup,control,7,20000,24651136,1232.556800000
hash,hash_lookup,real,7,20000,544305568,27215.278400000
hash,hash_lookup,real-minus-control,7,20000,0,25.982721600
hash,hash_update,control,7,20000,20998304,1049.915200000
hash,hash_update,real,7,20000,1874320096,93716.004800000
hash,hash_update,real-minus-control,7,20000,0,92.666089600
percpu_hash,hash_lookup,control,7,20000,23989632,1199.481600000
percpu_hash,hash_lookup,real,7,20000,562989216,28149.460800000
percpu_hash,hash_lookup,real-minus-control,7,20000,0,26.949979200
percpu_hash,hash_update,control,7,20000,17362112,868.105600000
percpu_hash,hash_update,real,7,20000,1345580416,67279.020800000
percpu_hash,hash_update,real-minus-control,7,20000,0,66.410915200
