value_size,wall_ns_per_helper,cycles_per_helper,instructions_per_helper,l1d_loads_per_helper,llc_misses_per_helper,nominal_cycles_at_2_2GHz
8,31.974475800,70.167633762,104.152741663,25.037340901,0.000005109,70.343846760
16,32.862828000,69.230950267,106.160206416,27.039287287,0.000012020,72.298221600
32,37.627087600,76.766945584,121.686406000,27.043240653,0.000030941,82.779592720
64,34.889780400,79.846664762,139.180803891,32.042522089,0.000002248,76.757516880
128,38.744189600,83.078477406,159.191870782,40.045897921,0.000007198,85.237217120
256,43.956739400,97.769324069,211.223327901,56.054527139,0.000007030,96.704826680
