value_size,arm64_wall_ns,x64_wall_ns,x64_minus_arm64_wall_ns,arm64_cycles,x64_cycles,x64_minus_arm64_cycles,arm64_instructions,x64_instructions,x64_minus_arm64_instructions
8,8.978226200,31.974475800,22.996249600,15.520962772,70.167633762,54.646670990,69.016384188,104.152741663,35.136357475
16,9.211899200,32.862828000,23.650928800,16.157440584,69.230950267,53.073509683,67.013620960,106.160206416,39.146585456
32,9.411484600,37.627087600,28.215603000,16.246887931,76.766945584,60.520057653,68.051134584,121.686406000,53.635271416
64,10.412345400,34.889780400,24.477435000,18.194939297,79.846664762,61.651725465,72.021115208,139.180803891,67.159688683
128,13.831273400,38.744189600,24.912916200,23.767035693,83.078477406,59.311441713,82.017271337,159.191870782,77.174599445
256,25.462973200,43.956739400,18.493766200,43.783142535,97.769324069,53.986181534,108.013377297,211.223327901,103.209950604
