mode,mean,median,sample_sd,min,max
base,249.450567040,249.212918400,0.509676114,248.881840000,250.101545600
percpu_hash_update_raw_key_copy,242.054262720,241.946254400,0.305256370,241.776024000,242.477452800
percpu_hash_update_raw_value_copy,242.009154240,242.002636800,0.290647065,241.667952000,242.321896000
percpu_hash_update_cached_hash,235.936556800,235.755025600,0.272815656,235.731769600,236.290160000
percpu_hash_update_fixed4_equal,223.605354880,223.701520000,0.330448632,223.185832000,224.027617600
percpu_hash_update_cached_hash_fixed4_equal,210.206248960,210.369601600,0.969149281,208.621614400,211.165222400
percpu_hash_update_no_copy,192.439773120,192.502646400,0.366147540,192.043476800,192.909363200
percpu_hash_update_no_find,66.855167040,67.064841600,0.330162457,66.435790400,67.124494400
