metric,arm64_per_helper,x64_per_helper,arm64_minus_x64,arm64_over_x64,arm64_reduction_percent
cycles,19.033509924999997,69.219618,-50.186108075,0.27497276747467747,72.50272325253225
instructions,82.0294337875,110.157391725,-28.1279579375,0.7446566453958948,25.534335460410517
l1d_loads,24.003041725,25.0414348125,-1.0383930875000011,0.9585330035888493,4.14669964111507
llc_misses,7.33125e-05,6.05e-06,6.72625e-05,12.117768595041323,-1111.7768595041323
