architecture,fixed_frequency_ghz,runtime_ns_per_helper,runtime_times_frequency_cycles,profile_cycles_per_helper,profile_instructions_per_helper,net_instructions_per_cycle
arm64,1.728,11.0366364,19.071307699200002,19.033509924999997,82.0294337875,4.309737621212816
x64,2.2,32.877093,72.32960460000001,69.219618,110.157391725,1.5914186600249658
