metric,map_kind,operation,bpftime_ordinary,bpftime_percpu,kernel_ordinary,kernel_percpu,bpftime_percpu_delta,kernel_percpu_delta,percpu_specific_gap
cycles,array,lookup,18.596878180,35.716990000,2.453935775,3.507389650,17.120111820,1.053453875,16.066657945
cycles,hash,lookup,72.961518140,204.175184120,44.830576544,46.598608554,131.213665980,1.768032011,129.445633969
cycles,array,update,28.615333960,104.271941600,18.709121981,25.121101475,75.656607640,6.411979494,69.244628146
cycles,hash,update,94.145447460,344.416856380,157.943633383,113.706243546,250.271408920,-44.237389837,294.508798757
instructions,array,lookup,89.766199080,165.271220720,11.000549850,20.002354925,75.505021640,9.001805075,66.503216565
instructions,hash,lookup,276.395850580,719.688941380,122.247814850,127.481009446,443.293090800,5.233194596,438.059896204
instructions,array,update,149.964604320,447.885210960,82.040106725,83.020863225,297.920606640,0.980756500,296.939850140
instructions,hash,update,329.459413080,1271.642423480,403.571288774,276.536616975,942.183010400,-127.034671799,1069.217682199
