engine,map_kind,operation,implementation,round,ns_per_helper
bpftime,array,lookup,real-minus-noop,1,10.56165862
bpftime,array,lookup,noop,2,1.85477918
bpftime,array,lookup,real,2,12.41469585
bpftime,array,lookup,real-minus-noop,2,10.55991667
bpftime,array,lookup,noop,3,1.84973437
bpftime,array,lookup,real,3,12.41415974
bpftime,array,lookup,real-minus-noop,3,10.56442537
bpftime,array,lookup,noop,4,1.85073103
bpftime,array,lookup,real,4,12.41256099
bpftime,array,lookup,real-minus-noop,4,10.56182996
bpftime,array,lookup,noop,5,1.84939814
bpftime,array,lookup,real,5,12.41181266
bpftime,array,lookup,real-minus-noop,5,10.56241452
bpftime,array,update,noop,1,2.32622087
bpftime,array,update,real,1,18.91977514
bpftime,array,update,real-minus-noop,1,16.59355427
bpftime,array,update,noop,2,2.3260602
bpftime,array,update,real,2,18.92166772
bpftime,array,update,real-minus-noop,2,16.59560752
bpftime,array,update,noop,3,2.32562168
bpftime,array,update,real,3,18.91849023
bpftime,array,update,real-minus-noop,3,16.59286855
bpftime,array,update,noop,4,2.32705183
bpftime,array,update,real,4,18.92409731
bpftime,array,update,real-minus-noop,4,16.59704548
bpftime,array,update,noop,5,2.32546069
bpftime,array,update,real,5,18.92152687
bpftime,array,update,real-minus-noop,5,16.59606618
bpftime,hash,lookup,noop,1,1.853981
bpftime,hash,lookup,real,1,43.31952895
bpftime,hash,lookup,real-minus-noop,1,41.46554795
bpftime,hash,lookup,noop,2,1.8499198
bpftime,hash,lookup,real,2,43.3254945
bpftime,hash,lookup,real-minus-noop,2,41.4755747
bpftime,hash,lookup,noop,3,1.8789537
bpftime,hash,lookup,real,3,43.3245027
bpftime,hash,lookup,real-minus-noop,3,41.445549
bpftime,hash,lookup,noop,4,1.85273275
bpftime,hash,lookup,real,4,43.32061955
bpftime,hash,lookup,real-minus-noop,4,41.4678868
bpftime,hash,lookup,noop,5,1.8498493
bpftime,hash,lookup,real,5,43.31456175
bpftime,hash,lookup,real-minus-noop,5,41.46471245
bpftime,hash,update,noop,1,2.3277037
bpftime,hash,update,real,1,55.32017565
bpftime,hash,update,real-minus-noop,1,52.99247195
bpftime,hash,update,noop,2,2.3268827
bpftime,hash,update,real,2,55.29932435
bpftime,hash,update,real-minus-noop,2,52.97244165
bpftime,hash,update,noop,3,2.32561065
bpftime,hash,update,real,3,55.2880527
bpftime,hash,update,real-minus-noop,3,52.96244205
bpftime,hash,update,noop,4,2.32720095
bpftime,hash,update,real,4,55.29748175
bpftime,hash,update,real-minus-noop,4,52.9702808
bpftime,hash,update,noop,5,2.3271402
bpftime,hash,update,real,5,55.29537545
bpftime,hash,update,real-minus-noop,5,52.96823525
bpftime,percpu_array,lookup,noop,1,1.8525873
bpftime,percpu_array,lookup,real,1,22.3390799
bpftime,percpu_array,lookup,real-minus-noop,1,20.4864926
bpftime,percpu_array,lookup,noop,2,1.85638465
bpftime,percpu_array,lookup,real,2,22.33775384
bpftime,percpu_array,lookup,real-minus-noop,2,20.48136919
bpftime,percpu_array,lookup,noop,3,1.84963733
bpftime,percpu_array,lookup,real,3,22.33744455
bpftime,percpu_array,lookup,real-minus-noop,3,20.48780722
bpftime,percpu_array,lookup,noop,4,1.85131392
bpftime,percpu_array,lookup,real,4,22.33626
bpftime,percpu_array,lookup,real-minus-noop,4,20.48494608
bpftime,percpu_array,lookup,noop,5,1.86083453
bpftime,percpu_array,lookup,real,5,22.33758408
bpftime,percpu_array,lookup,real-minus-noop,5,20.47674955
bpftime,percpu_array,update,noop,1,2.32641991
bpftime,percpu_array,update,real,1,62.71006408
bpftime,percpu_array,update,real-minus-noop,1,60.38364417
bpftime,percpu_array,update,noop,2,2.3263683
bpftime,percpu_array,update,real,2,62.74125627
bpftime,percpu_array,update,real-minus-noop,2,60.41488797
bpftime,percpu_array,update,noop,3,2.32559513
bpftime,percpu_array,update,real,3,62.74847933
bpftime,percpu_array,update,real-minus-noop,3,60.4228842
bpftime,percpu_array,update,noop,4,2.32613686
bpftime,percpu_array,update,real,4,62.7454546
bpftime,percpu_array,update,real-minus-noop,4,60.41931774
bpftime,percpu_array,update,noop,5,2.32549457
bpftime,percpu_array,update,real,5,62.74705718
bpftime,percpu_array,update,real-minus-noop,5,60.42156261
bpftime,percpu_hash,lookup,noop,1,1.8747593
bpftime,percpu_hash,lookup,real,1,117.54591265
bpftime,percpu_hash,lookup,real-minus-noop,1,115.67115335
bpftime,percpu_hash,lookup,noop,2,1.85188075
bpftime,percpu_hash,lookup,real,2,117.48294625
bpftime,percpu_hash,lookup,real-minus-noop,2,115.6310655
bpftime,percpu_hash,lookup,noop,3,1.86595685
bpftime,percpu_hash,lookup,real,3,117.5666898
bpftime,percpu_hash,lookup,real-minus-noop,3,115.70073295
bpftime,percpu_hash,lookup,noop,4,1.85811125
bpftime,percpu_hash,lookup,real,4,117.6049471
bpftime,percpu_hash,lookup,real-minus-noop,4,115.74683585
bpftime,percpu_hash,lookup,noop,5,1.8523797
bpftime,percpu_hash,lookup,real,5,117.5843594
bpftime,percpu_hash,lookup,real-minus-noop,5,115.7319797
bpftime,percpu_hash,update,noop,1,2.3277184
bpftime,percpu_hash,update,real,1,197.6485603
bpftime,percpu_hash,update,real-minus-noop,1,195.3208419
bpftime,percpu_hash,update,noop,2,2.3271162
bpftime,percpu_hash,update,real,2,197.63053305
bpftime,percpu_hash,update,real-minus-noop,2,195.30341685
bpftime,percpu_hash,update,noop,3,2.32704895
bpftime,percpu_hash,update,real,3,197.6291161
bpftime,percpu_hash,update,real-minus-noop,3,195.30206715
bpftime,percpu_hash,update,noop,4,2.32591075
bpftime,percpu_hash,update,real,4,197.64488815
bpftime,percpu_hash,update,real-minus-noop,4,195.3189774
bpftime,percpu_hash,update,noop,5,2.3256195
bpftime,percpu_hash,update,real,5,197.6143434
bpftime,percpu_hash,update,real-minus-noop,5,195.2887239
