8,ctrl,1697
8,real,1698
16,ctrl,1752
16,real,1753
32,ctrl,1807
32,real,1808
64,ctrl,1862
64,real,1863
128,ctrl,1917
128,real,1918
256,ctrl,1972
256,real,1973
