value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
64,ctrl,1,20000,40214072,2010.703600
64,real,1,20000,753533418,37676.670900
64,real-minus-control,1,20000,0,35.665967
64,real,2,20000,753617011,37680.850550
64,ctrl,2,20000,40231480,2011.574000
64,real-minus-control,2,20000,0,35.669277
64,ctrl,3,20000,40247418,2012.370900
64,real,3,20000,753522164,37676.108200
64,real-minus-control,3,20000,0,35.663737
64,real,4,20000,753400653,37670.032650
64,ctrl,4,20000,40399796,2019.989800
64,real-minus-control,4,20000,0,35.650043
64,ctrl,5,20000,40281218,2014.060900
64,real,5,20000,753680357,37684.017850
64,real-minus-control,5,20000,0,35.669957
