value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
32,ctrl,1,20000,39945492,1997.274600
32,real,1,20000,777060973,38853.048650
32,real-minus-control,1,20000,0,36.855774
32,real,2,20000,776685983,38834.299150
32,ctrl,2,20000,39957014,1997.850700
32,real-minus-control,2,20000,0,36.836448
32,ctrl,3,20000,39935171,1996.758550
32,real,3,20000,776723623,38836.181150
32,real-minus-control,3,20000,0,36.839423
32,real,4,20000,776898513,38844.925650
32,ctrl,4,20000,40093521,2004.676050
32,real-minus-control,4,20000,0,36.840250
32,ctrl,5,20000,39955175,1997.758750
32,real,5,20000,776806446,38840.322300
32,real-minus-control,5,20000,0,36.842564
