value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
128,ctrl,1,20000,58693029,2934.651450
128,real,1,20000,826731462,41336.573100
128,real-minus-control,1,20000,0,38.401922
128,real,2,20000,823582679,41179.133950
128,ctrl,2,20000,58706005,2935.300250
128,real-minus-control,2,20000,0,38.243834
128,ctrl,3,20000,58696952,2934.847600
128,real,3,20000,804466173,40223.308650
128,real-minus-control,3,20000,0,37.288461
128,real,4,20000,825536135,41276.806750
128,ctrl,4,20000,58681370,2934.068500
128,real-minus-control,4,20000,0,38.342738
128,ctrl,5,20000,58696846,2934.842300
128,real,5,20000,817246020,40862.301000
128,real-minus-control,5,20000,0,37.927459
