# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 407  of event 'cycles:u'
# Event count (approx.): 665404191
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .....................  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.24%  helper-map-clos  libc.so.6              [.] __aarch64_swp4_rel
     0.24%  helper-map-clos  libbpftime-agent.so    [.] (anonymous namespace)::LSRInstance::SolveRecurse(llvm::SmallVectorImpl<(anonymous namespace)::Formula const*>&, (anonymous namespace)::Cost&, llvm::SmallVectorImpl<(anonymous namespace)::Formula const*>&, (anonymous namespace)::Cost const&, llvm::SmallPtrSet<llvm::SCEV const*, 16u> const&, llvm::DenseSet<llvm::SCEV const*, llvm::DenseMapInfo<llvm::SCEV const*, void> >&) const
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::LiveRange::find(llvm::SlotIndex)
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::ScalarEvolution::isKnownPredicateViaConstantRanges(llvm::CmpInst::Predicate, llvm::SCEV const*, llvm::SCEV const*)
     0.24%  helper-map-clos  libbpftime-agent.so    [.] bpftime::bpf_attach_ctx::instantiate_handler_at(bpftime::handler_manager const*, int, std::set<int, std::less<int>, std::allocator<int> >&, bpftime::agent_config const&, bool) [clone .constprop.0] [clone .isra.0]
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::MCBinaryExpr::create(llvm::MCBinaryExpr::Opcode, llvm::MCExpr const*, llvm::MCExpr const*, llvm::MCContext&, llvm::SMLoc)
     0.24%  helper-map-clos  libc.so.6              [.] __GI___memmem
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMDataManager::add(llvm::Pass*, bool)
     0.24%  helper-map-clos  libbpftime-agent.so    [.] SinkCast(llvm::CastInst*)
     0.24%  helper-map-clos  libc.so.6              [.] pthread_once@@GLIBC_2.34
     0.24%  helper-map-clos  [JIT] tid 793399       [.] 0x0000ffffbe88f068
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::object::ObjectFile::createELFObjectFile(llvm::MemoryBufferRef, bool)
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::SparseSolver<llvm::PointerIntPair<llvm::Value*, 2u, (anonymous namespace)::IPOGrouping, llvm::PointerLikeTypeTraits<llvm::Value*>, llvm::PointerIntPairInfo<llvm::Value*, 2u, llvm::PointerLikeTypeTraits<llvm::Value*> > >, (anonymous namespace)::CVPLatticeVal, llvm::LatticeKeyInfo<llvm::PointerIntPair<llvm::Value*, 2u, (anonymous namespace)::IPOGrouping, llvm::PointerLikeTypeTraits<llvm::Value*>, llvm::PointerIntPairInfo<llvm::Value*, 2u, llvm::PointerLikeTypeTraits<llvm::Value*> > > > >::visitInst(llvm::Instruction&)
     0.24%  helper-map-clos  libc.so.6              [.] __vfscanf_internal
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMDataManager::freePass(llvm::Pass*, llvm::StringRef, llvm::PassDebuggingString)
     0.24%  helper-map-clos  libbpftime-agent.so    [.] (anonymous namespace)::AtomicExpand::~AtomicExpand()
     0.24%  helper-map-clos  libbpftime-agent.so    [.] computeKnownBitsFromOperator(llvm::Operator const*, llvm::APInt const&, llvm::KnownBits&, unsigned int, (anonymous namespace)::Query const&)
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::allocate_buffer(unsigned long, unsigned long)
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::detail::DenseMapPair<void const*, llvm::Pass*>* llvm::DenseMapBase<llvm::DenseMap<void const*, llvm::Pass*, llvm::DenseMapInfo<void const*, void>, llvm::detail::DenseMapPair<void const*, llvm::Pass*> >, void const*, llvm::Pass*, llvm::DenseMapInfo<void const*, void>, llvm::detail::DenseMapPair<void const*, llvm::Pass*> >::InsertIntoBucket<void const* const&>(llvm::detail::DenseMapPair<void const*, llvm::Pass*>*, void const* const&)
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::ConstantRange::getSignedMin() const
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::GlobalValue::isInterposable() const
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::BranchProbabilityInfoWrapperPass::runOnFunction(llvm::Function&)
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMDataManager::preserveHigherLevelAnalysis(llvm::Pass*)
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::MVT::getVectorElementType() const
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::FPPassManager::~FPPassManager()
     0.24%  helper-map-clos  libbpftime-agent.so    [.] std::priority_queue<std::pair<llvm::DomTreeNodeBase<llvm::BasicBlock>*, std::pair<unsigned int, unsigned int> >, llvm::SmallVector<std::pair<llvm::DomTreeNodeBase<llvm::BasicBlock>*, std::pair<unsigned int, unsigned int> >, 32u>, llvm::less_second>::push(std::pair<llvm::DomTreeNodeBase<llvm::BasicBlock>*, std::pair<unsigned int, unsigned int> >&&)
     0.24%  helper-map-clos  libc.so.6              [.] __strlen_asimd
     0.24%  helper-map-clos  libbpftime-agent.so    [.] llvm::MemorySSA::renameSuccessorPhis(llvm::BasicBlock*, llvm::MemoryAccess*, bool)
     0.24%  helper-map-clos  libbpftime-agent.so    [.] std::_Function_handler<bool (llvm::LegalityQuery const&), llvm::AArch64LegalizerInfo::AArch64LegalizerInfo(llvm::AArch64Subtarget const&)::$_11>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
     0.23%  helper-map-clos  libbpftime-agent.so    [.] llvm::Instruction::getNumSuccessors() const
     0.23%  helper-map-clos  libbpftime-agent.so    [.] llvm::AnalysisResolver::addAnalysisImplsPair(void const*, llvm::Pass*)
     0.23%  helper-map-clos  libbpftime-agent.so    [.] llvm::ConstantRange::signedAddMayOverflow(llvm::ConstantRange const&) const
     0.23%  helper-map-clos  libbpftime-agent.so    [.] map_ptr_by_fd
     0.23%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMDataManager::initializeAnalysisImpl(llvm::Pass*)
     0.23%  helper-map-clos  libbpftime-agent.so    [.] llvm::ScalarEvolution::createNodeForPHI(llvm::PHINode*)
     0.23%  helper-map-clos  libbpftime-agent.so    [.] bool llvm::PatternMatch::match_combine_or<llvm::PatternMatch::match_combine_or<llvm::PatternMatch::BinaryOp_match<llvm::PatternMatch::BinaryOp_match<llvm::PatternMatch::cstval_pred_ty<llvm::PatternMatch::is_all_ones, llvm::ConstantInt>, llvm::PatternMatch::class_match<llvm::Value>, 25u, false>, llvm::PatternMatch::cstval_pred_ty<llvm::PatternMatch::is_all_ones, llvm::ConstantInt>, 30u, true>, llvm::PatternMatch::BinaryOp_match<llvm::PatternMatch::BinaryOp_match<llvm::PatternMatch::cstval_pred_ty<llvm::PatternMatch::is_one, llvm::ConstantInt>, llvm::PatternMatch::class_match<llvm::Value>, 25u, false>, llvm::PatternMatch::cstval_pred_ty<llvm::PatternMatch::is_all_ones, llvm::ConstantInt>, 13u, false> >, llvm::PatternMatch::match_combine_or<llvm::PatternMatch::BinaryOp_match<llvm::PatternMatch::cstval_pred_ty<llvm::PatternMatch::is_all_ones, llvm::ConstantInt>, llvm::PatternMatch::class_match<llvm::Value>, 26u, false>, llvm::PatternMatch::BinaryOp_match<llvm::PatternMatch::BinaryOp_match<llvm::PatternMatch::cstval_pred_ty<llvm::PatternMatch::is_all_ones, llvm::ConstantInt>, llvm::PatternMatch::bind_ty<llvm::Value>, 25u, false>, llvm::PatternMatch::deferredval_ty<llvm::Value>, 26u, false> > >::match<llvm::Value>(llvm::Value*)
     0.23%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMDataManager::removeNotPreservedAnalysis(llvm::Pass*)
     0.23%  helper-map-clos  [JIT] tid 793399       [.] 0x0000ffffbe887098
     0.23%  helper-map-clos  libbpftime-agent.so    [.] llvm::detail::DenseMapPair<llvm::BasicBlock*, llvm::DomTreeBuilder::SemiNCAInfo<llvm::DominatorTreeBase<llvm::BasicBlock, false> >::InfoRec>* llvm::DenseMapBase<llvm::DenseMap<llvm::BasicBlock*, llvm::DomTreeBuilder::SemiNCAInfo<llvm::DominatorTreeBase<llvm::BasicBlock, false> >::InfoRec, llvm::DenseMapInfo<llvm::BasicBlock*, void>, llvm::detail::DenseMapPair<llvm::BasicBlock*, llvm::DomTreeBuilder::SemiNCAInfo<llvm::DominatorTreeBase<llvm::BasicBlock, false> >::InfoRec> >, llvm::BasicBlock*, llvm::DomTreeBuilder::SemiNCAInfo<llvm::DominatorTreeBase<llvm::BasicBlock, false> >::InfoRec, llvm::DenseMapInfo<llvm::BasicBlock*, void>, llvm::detail::DenseMapPair<llvm::BasicBlock*, llvm::DomTreeBuilder::SemiNCAInfo<llvm::DominatorTreeBase<llvm::BasicBlock, false> >::InfoRec> >::InsertIntoBucket<llvm::BasicBlock* const&>(llvm::detail::DenseMapPair<llvm::BasicBlock*, llvm::DomTreeBuilder::SemiNCAInfo<llvm::DominatorTreeBase<llvm::BasicBlock, false> >::InfoRec>*, llvm::BasicBlock* const&)
     0.22%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMTopLevelManager::schedulePass(llvm::Pass*)
     0.22%  helper-map-clos  libbpftime-agent.so    [.] gum_interceptor_invocation_get_listener_function_data
     0.22%  helper-map-clos  libbpftime-agent.so    [.] computeKnownBits(llvm::Value const*, llvm::APInt const&, llvm::KnownBits&, unsigned int, (anonymous namespace)::Query const&)
     0.22%  helper-map-clos  libbpftime-agent.so    [.] llvm::MVT::getVectorVT(llvm::MVT, unsigned int)
     0.22%  helper-map-clos  [JIT] tid 793399       [.] 0x0000ffffbe88f020
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::FoldingSetNodeID::AddInteger(unsigned long long)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::FoldingSetBase::FindNodeOrInsertPos(llvm::FoldingSetNodeID const&, void*&, llvm::FoldingSetBase::FoldingSetInfo const&)
     0.21%  helper-map-clos  [JIT] tid 793399       [.] 0x0000ffffbe8870d4
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::MCExpr::evaluateAsRelocatableImpl(llvm::MCValue&, llvm::MCAssembler const*, llvm::MCAsmLayout const*, llvm::MCFixup const*, llvm::DenseMap<llvm::MCSection const*, unsigned long, llvm::DenseMapInfo<llvm::MCSection const*, void>, llvm::detail::DenseMapPair<llvm::MCSection const*, unsigned long> > const*, bool) const
     0.20%  helper-map-clos  libbpftime-agent.so    [.] llvm::BasicAAWrapperPass::runOnFunction(llvm::Function&)
     0.20%  helper-map-clos  libbpftime-agent.so    [.] llvm::ScalarEvolution::createNodeForGEP(llvm::GEPOperator*)
     0.20%  helper-map-clos  libbpftime-agent.so    [.] spdlog::details::registry::instance()
     0.20%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMTopLevelManager::AUFoldingSetNode::Profile(llvm::FoldingSetNodeID&, llvm::AnalysisUsage const&)


#
# (Cannot load tips.txt file, please install perf!)
#
