platform,environment,raw_ns_per_invocation,empty_uprobe_ns_per_invocation,net_ns_per_helper,bpftime_over_kernel,runs,note
x64,kernel,113329.091120,3356.617140,109.972473980,1.000000000,1,post-fix single-run smoke
x64,bpftime,1096194.080950,442.486860,1095.751594090,9.963871453,1,post-fix single-run smoke
