case,kernel_median_net_ns_per_helper,bpftime_median_net_ns_per_helper,bpftime_minus_kernel_ns_per_helper,bpftime_over_kernel,lower_cost_path
__bench_array_map_lookup,2.56318944,12.90125184,10.3380624,5.033280661455909,kernel
__bench_array_map_update,11.85837152,16.426424,4.56805248,1.3852175209973518,kernel
__bench_hash_map_lookup,27.80782112,54.60821888,26.800397760000003,1.963771941870144,kernel
__bench_hash_map_update,93.341912,51.64721824,-41.69469375999999,0.5533121952762228,bpftime
