case,arm64_kernel_median_net_ns_per_helper,x64_kernel_median_net_ns_per_helper,arm64_over_x64_kernel,arm64_bpftime_median_net_ns_per_helper,x64_bpftime_median_net_ns_per_helper,arm64_over_x64_bpftime,arm64_bpftime_over_kernel,x64_bpftime_over_kernel,arm64_lower_cost_path,x64_lower_cost_path,winner_flipped,dominant_ratio_shift_component
__bench_array_map_lookup,2.56318944,2.7652763300000003,0.9269198207037774,12.90125184,13.41742333,0.9615297604238294,5.033280661455909,4.852109420109924,kernel,kernel,no,kernel denominator
__bench_array_map_update,11.85837152,34.25066323,0.34622312100553154,16.426424,18.551042709999997,0.885471736375513,1.3852175209973518,0.5416257952561696,kernel,bpftime,yes,kernel denominator
__bench_hash_map_lookup,27.80782112,51.09702251,0.5442160766717442,54.60821888,80.09041583,0.6818321307746917,1.963771941870144,1.5674184501518813,kernel,kernel,no,kernel denominator
__bench_hash_map_update,93.341912,130.2696161,0.7165286487706168,51.64721824,86.63081799,0.5961760426406427,0.5533121952762228,0.6650116933138025,bpftime,bpftime,no,bpftime numerator
