mode,mean,median,sample_sd,min,max
base,27.038812800,27.001547200,0.397333684,26.715531200,27.700584000
percpu_array_direct,22.369359680,22.386278400,0.072175926,22.284488000,22.457446400
percpu_array_fixed_cpu,19.686898880,19.701235200,0.069406237,19.614660800,19.773582400
percpu_array_lookup_no_address,20.886825920,20.838779200,0.124600482,20.752734400,21.049027200
percpu_array_lookup_fixed_cpu_no_address,18.624368640,18.550740800,0.347406740,18.392208000,19.229745600
percpu_array_lookup_no_body,17.347469120,17.419560000,0.153605937,17.175022400,17.483912000
