operation,samples,record_event_cycles_per_op,core_symbol_percent,memcmp_total_percent,memmove_percent,initial_div_local_percent,probe_div_local_percent,inferred_div_overall_percent,stat_l0_minus_control_cycles_per_op,stat_l0_minus_control_instructions_per_op,stat_l0_minus_control_divider_active_cycles_per_op,divider_active_share_of_l0_percent
lookup,40303,130.013577,52.06,45.10,0.00,22.76,28.45,26.66,134.147,190.007,28.703,21.40
update,46910,151.327120,57.11,35.66,3.16,24.47,30.67,31.49,133.716,220.991,27.697,20.71
