quantity,ns_per_helper,formula,interpretation
matched_full_gap,27.765873440,(hash-empty)_bpftime - (hash-empty)_kernel,complete top-level difference
matched_nonhelper_gap,-0.401510187,(loop-empty)_bpftime - (loop-empty)_kernel,loop/key-stack path; no map helper
matched_helper_containing_gap,28.167383627,(hash-loop)_bpftime - (hash-loop)_kernel,map relocation/helper call/helper body in top context
reconstructed_full_gap,27.765873440,matched_nonhelper_gap + matched_helper_containing_gap,algebraic closure
closure_error,0.000000000,matched_full_gap - reconstructed_full_gap,must be zero within output rounding
