value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
8,ctrl,1,20000,31259399,1562.969950
8,real,1,20000,759933905,37996.695250
8,real-minus-control,1,20000,0,36.433725
8,real,2,20000,759923713,37996.185650
8,ctrl,2,20000,31092587,1554.629350
8,real-minus-control,2,20000,0,36.441556
8,ctrl,3,20000,31126104,1556.305200
8,real,3,20000,759104814,37955.240700
8,real-minus-control,3,20000,0,36.398936
8,real,4,20000,759121804,37956.090200
8,ctrl,4,20000,31022368,1551.118400
8,real-minus-control,4,20000,0,36.404972
8,ctrl,5,20000,31243122,1562.156100
8,real,5,20000,758731956,37936.597800
8,real-minus-control,5,20000,0,36.374442
