mode,mean,median,sample_sd,min,max
base,22.556818880,22.534521600,0.052938218,22.508241600,22.644905600
cache_control,25.983762880,25.986689600,0.048721897,25.928417600,26.040732800
cached_handler,24.605342080,24.587747200,0.072977940,24.518040000,24.711232000
direct_map,19.683212480,19.682835200,0.030520867,19.643316800,19.729051200
array_update_address_only,20.732893440,20.730568000,0.059428546,20.673972800,20.830214400
array_update_no_address,19.404671040,19.403030400,0.021172981,19.382544000,19.429992000
array_update_no_body,19.411054400,19.374043200,0.075968451,19.356550400,19.542004800
