operation,layer,ordinary_mean_ns_per_op,percpu_mean_ns_per_op,percpu_minus_ordinary_ns_per_op,ordinary_instructions_per_op,percpu_instructions_per_op,percpu_minus_ordinary_instructions_per_op
lookup,l0,3.108129,12.9945684,9.8864394,27.31667916,118.93156652,91.61488736000001
lookup,l1,7.9448992,18.4832684,10.5383692,78.32524782,169.93997436,91.61472654
lookup,l2,13.1070206,23.9367072,10.8296866,113.0134234,204.63809962,91.62467622
lookup,l3,11.7556904,23.6889964,11.933306,103.8312766,207.69623242,103.86495582
update,l0,5.6701354,41.8534824,36.183347,64.04059268,371.95626788,307.9156752
update,l1,11.7745464,56.6827332,44.9081868,125.2514771,436.24362768,310.99215058
update,l2,17.5765064,68.40953040000001,50.83302400000001,167.08084898,478.08524232,311.00439334
update,l3,15.9418878,68.3628418,52.420953999999995,148.71872756,478.09054034,329.37181278
