value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
8,ctrl,1,20000,43531648,2176.582400
8,real,1,20000,224290304,11214.515200
8,real-minus-control,1,20000,0,9.037933
8,real,2,20000,224106432,11205.321600
8,ctrl,2,20000,43697984,2184.899200
8,real-minus-control,2,20000,0,9.020422
8,ctrl,3,20000,43648096,2182.404800
8,real,3,20000,223654432,11182.721600
8,real-minus-control,3,20000,0,9.000317
8,real,4,20000,223980960,11199.048000
8,ctrl,4,20000,43553280,2177.664000
8,real-minus-control,4,20000,0,9.021384
8,ctrl,5,20000,43646944,2182.347200
8,real,5,20000,223696512,11184.825600
8,real-minus-control,5,20000,0,9.002478
