value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
32,ctrl,1,20000,43356352,2167.817600
32,real,1,20000,231392768,11569.638400
32,real-minus-control,1,20000,0,9.401821
32,real,2,20000,231401120,11570.056000
32,ctrl,2,20000,43333728,2166.686400
32,real-minus-control,2,20000,0,9.403370
32,ctrl,3,20000,43294624,2164.731200
32,real,3,20000,231571296,11578.564800
32,real-minus-control,3,20000,0,9.413834
32,real,4,20000,231374272,11568.713600
32,ctrl,4,20000,43334880,2166.744000
32,real-minus-control,4,20000,0,9.401970
32,ctrl,5,20000,43329504,2166.475200
32,real,5,20000,231273536,11563.676800
32,real-minus-control,5,20000,0,9.397202
