# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 420  of event 'cycles:u'
# Event count (approx.): 704081681
#
# Overhead  Command          Shared Object              Symbol                                                                                                                                                                                                                                                                                  
# ........  ...............  .........................  ........................................................................................................................................................................................................................................................................................
#
     0.23%  helper-map-clos  libbpftime-agent.so        [.] llvm::SmallVectorImpl<llvm::MachineBasicBlock*>::operator=(llvm::SmallVectorImpl<llvm::MachineBasicBlock*>&&)
     0.23%  helper-map-clos  libbpftime-agent.so        [.] llvm::TargetLowering::SimplifyDemandedBits(llvm::SDValue, llvm::APInt const&, llvm::APInt const&, llvm::KnownBits&, llvm::TargetLowering::TargetLoweringOpt&, unsigned int, bool) const
     0.23%  helper-map-clos  libc.so.6                  [.] __GI___strchrnul
     0.23%  helper-map-clos  libbpftime-agent.so        [.] llvm::po_iterator<llvm::MachineBasicBlock*, llvm::SmallPtrSet<llvm::MachineBasicBlock*, 8u>, false, llvm::GraphTraits<llvm::MachineBasicBlock*> >::traverseChild()
     0.23%  helper-map-clos  libbpftime-agent.so        [.] llvm::SelectionDAGISel::SelectCodeCommon(llvm::SDNode*, unsigned char const*, unsigned int)
     0.23%  helper-map-clos  libbpftime-agent.so        [.] llvm::ScalarEvolution::getOrCreateAddRecExpr(llvm::ArrayRef<llvm::SCEV const*>, llvm::Loop const*, llvm::SCEV::NoWrapFlags)
     0.23%  helper-map-clos  libbpftime-agent.so        [.] (anonymous namespace)::LSRInstance::LSRInstance(llvm::Loop*, llvm::IVUsers&, llvm::ScalarEvolution&, llvm::DominatorTree&, llvm::LoopInfo&, llvm::TargetTransformInfo const&, llvm::AssumptionCache&, llvm::TargetLibraryInfo&, llvm::MemorySSAUpdater*)
     0.23%  helper-map-clos  libc.so.6                  [.] __GI___memmem
     0.23%  helper-map-clos  libbpftime-agent.so        [.] llvm::FindAvailableLoadedValue(llvm::LoadInst*, llvm::AAResults&, bool*, unsigned int)
     0.23%  helper-map-clos  libbpftime-agent.so        [.] SetImpliedBits(llvm::FeatureBitset&, llvm::FeatureBitset const&, llvm::ArrayRef<llvm::SubtargetFeatureKV>)
     0.23%  helper-map-clos  libbpftime-agent.so        [.] llvm::AsmPrinter::emitFunctionBody()
     0.23%  helper-map-clos  libc.so.6                  [.] unlink_chunk.isra.0
     0.23%  helper-map-clos  libbpftime-agent.so        [.] gum_memset
     0.23%  helper-map-clos  libbpftime-agent.so        [.] llvm::AArch64MCInstLower::Lower(llvm::MachineInstr const*, llvm::MCInst&) const
     0.23%  helper-map-clos  libbpftime-agent.so        [.] llvm::ConstantInt::get(llvm::LLVMContext&, llvm::APInt const&)
     0.23%  helper-map-clos  libbpftime-agent.so        [.] llvm::PMDataManager::removeNotPreservedAnalysis(llvm::Pass*)
     0.23%  helper-map-clos  libbpftime-agent.so        [.] llvm::PMTopLevelManager::findAnalysisPass(void const*)
     0.23%  helper-map-clos  libc.so.6                  [.] memcmp
     0.23%  helper-map-clos  libbpftime-agent.so        [.] llvm::MCAssembler::registerSymbol(llvm::MCSymbol const&, bool*)
     0.23%  helper-map-clos  libbpftime-agent.so        [.] llvm::SmallPtrSetImplBase::SmallPtrSetImplBase(void const**, unsigned int, llvm::SmallPtrSetImplBase&&)
     0.23%  helper-map-clos  libbpftime-agent.so        [.] llvm::MVT::getSizeInBits() const
     0.23%  helper-map-clos  libbpftime-agent.so        [.] llvm::PMTopLevelManager::findAnalysisUsage(llvm::Pass*)
     0.23%  helper-map-clos  libbpftime-agent.so        [.] llvm::PMTopLevelManager::AUFoldingSetNode::Profile(llvm::FoldingSetNodeID&, llvm::AnalysisUsage const&)
     0.22%  helper-map-clos  libbpftime-agent.so        [.] canConstantEvolve(llvm::Instruction*, llvm::Loop const*)
     0.22%  helper-map-clos  libbpftime-agent.so        [.] llvm::AnalysisResolver::addAnalysisImplsPair(void const*, llvm::Pass*)
     0.22%  helper-map-clos  libbpftime-agent.so        [.] llvm::ConstantRange::getUnsignedMin() const
     0.22%  helper-map-clos  libbpftime-agent.so        [.] (anonymous namespace)::SimplifyCFGOpt::simplifyBranch(llvm::BranchInst*, llvm::IRBuilder<llvm::ConstantFolder, llvm::IRBuilderDefaultInserter>&)
     0.22%  helper-map-clos  libbpftime-agent.so        [.] bool llvm::PatternMatch::BinaryOp_match<llvm::PatternMatch::cstval_pred_ty<llvm::PatternMatch::is_zero_int, llvm::ConstantInt>, llvm::PatternMatch::CastClass_match<llvm::PatternMatch::class_match<llvm::Value>, 39u>, 15u, false>::match<llvm::Value>(llvm::Value*)
     0.22%  helper-map-clos  libc.so.6                  [.] __memcpy_chk
     0.22%  helper-map-clos  libc.so.6                  [.] __vfscanf_internal
     0.22%  helper-map-clos  libbpftime-agent.so        [.] llvm::df_iterator<llvm::DomTreeNodeBase<llvm::BasicBlock>*, llvm::df_iterator_default_set<llvm::DomTreeNodeBase<llvm::BasicBlock>*, 8u>, false, llvm::GraphTraits<llvm::DomTreeNodeBase<llvm::BasicBlock>*> >::toNext()
     0.22%  helper-map-clos  libbpftime-agent.so        [.] llvm::PtrUseVisitor<llvm::sroa::AllocaSlices::SliceBuilder>::visitPtr(llvm::Instruction&)
     0.22%  helper-map-clos  libbpftime-agent.so        [.] llvm::Instruction::mayThrow() const
     0.22%  helper-map-clos  libbpftime-agent.so        [.] llvm::Type::getPrimitiveSizeInBits() const
     0.22%  helper-map-clos  libbpftime-agent.so        [.] llvm::scc_iterator<llvm::CallGraph*, llvm::GraphTraits<llvm::CallGraph*> >::DFSVisitChildren()
     0.22%  helper-map-clos  helper-map-closure-victim  [.] main
     0.21%  helper-map-clos  [JIT] tid 793542           [.] 0x0000ffff868dd004


#
# (Cannot load tips.txt file, please install perf!)
#
