# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 461  of event 'cycles:u'
# Event count (approx.): 763972091
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
# ........  ...............  .....................  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::orc::JITDylib::resolve(llvm::orc::MaterializationResponsibility&, llvm::DenseMap<llvm::orc::SymbolStringPtr, llvm::JITEvaluatedSymbol, llvm::DenseMapInfo<llvm::orc::SymbolStringPtr, void>, llvm::detail::DenseMapPair<llvm::orc::SymbolStringPtr, llvm::JITEvaluatedSymbol> > const&)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::SmallVectorTemplateBase<llvm::LegalizeRule, false>::grow(unsigned long)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::SmallVectorImpl<llvm::APInt>::resize(unsigned long, llvm::APInt const&)
     0.21%  helper-map-clos  libc.so.6              [.] _IO_sputbackc
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::AArch64FrameLowering::orderFrameObjects(llvm::MachineFunction const&, llvm::SmallVectorImpl<int>&) const
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::RegisterTarget<(llvm::Triple::ArchType)41, false>::getArchMatch(llvm::Triple::ArchType)
     0.21%  helper-map-clos  libc.so.6              [.] __printf_buffer_write
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::SROAPass::presplitLoadsAndStores(llvm::AllocaInst&, llvm::sroa::AllocaSlices&)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMDataManager::freePass(llvm::Pass*, llvm::StringRef, llvm::PassDebuggingString)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] (anonymous namespace)::Verifier::visit(llvm::Instruction&)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::MVT::getSizeInBits() const
     0.21%  helper-map-clos  libbpftime-agent.so    [.] std::_Function_handler<bool (llvm::LegalityQuery const&), llvm::LegalizeRuleSet::clampMaxNumElements(unsigned int, llvm::LLT, unsigned int)::{lambda(llvm::LegalityQuery const&)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::DomTreeBuilder::SemiNCAInfo<llvm::DominatorTreeBase<llvm::MachineBasicBlock, false> >::runSemiNCA(llvm::DominatorTreeBase<llvm::MachineBasicBlock, false>&, unsigned int)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::DenseMapBase<llvm::DenseMap<llvm::Pass*, llvm::SmallPtrSet<llvm::Pass*, 8u>, llvm::DenseMapInfo<llvm::Pass*, void>, llvm::detail::DenseMapPair<llvm::Pass*, llvm::SmallPtrSet<llvm::Pass*, 8u> > >, llvm::Pass*, llvm::SmallPtrSet<llvm::Pass*, 8u>, llvm::DenseMapInfo<llvm::Pass*, void>, llvm::detail::DenseMapPair<llvm::Pass*, llvm::SmallPtrSet<llvm::Pass*, 8u> > >::moveFromOldBuckets(llvm::detail::DenseMapPair<llvm::Pass*, llvm::SmallPtrSet<llvm::Pass*, 8u> >*, llvm::detail::DenseMapPair<llvm::Pass*, llvm::SmallPtrSet<llvm::Pass*, 8u> >*)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMDataManager::dumpPassInfo(llvm::Pass*, llvm::PassDebuggingString, llvm::PassDebuggingString, llvm::StringRef)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] (anonymous namespace)::GetCFGOnlyPasses::passEnumerate(llvm::PassInfo const*)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::shouldPrintBeforePass(llvm::StringRef)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::getPassTimer(llvm::Pass*)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::InstCombinerImpl::SimplifyDemandedUseBits(llvm::Value*, llvm::APInt, llvm::KnownBits&, unsigned int, llvm::Instruction*)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] bool llvm::PatternMatch::MaxMin_match<llvm::ICmpInst, llvm::PatternMatch::bind_ty<llvm::Value>, llvm::PatternMatch::BinaryOp_match<llvm::PatternMatch::bind_ty<llvm::Value>, llvm::PatternMatch::cstval_pred_ty<llvm::PatternMatch::is_all_ones, llvm::ConstantInt>, 30u, true>, llvm::PatternMatch::umin_pred_ty, true>::match<llvm::Value>(llvm::Value*)
