metric,case,kernel_mean,bpftime_mean,bpftime_minus_kernel,gap_sample_sd
cycles,array_lookup,2.304545967,22.062819083,19.758273117,0.069120206
cycles,percpu_array_lookup,3.417138567,37.246982383,33.829843817,0.068403872
cycles,array_update,18.809278100,28.621817333,9.812539233,0.089263516
cycles,percpu_array_update,24.862061133,111.171514867,86.309453733,0.036307397
instructions,array_lookup,9.994391100,108.037489683,98.043098583,0.014257592
instructions,percpu_array_lookup,19.004607467,183.058660900,164.054053433,0.027140470
instructions,array_update,81.016283400,147.036709833,66.020426433,0.014360289
instructions,percpu_array_update,82.033861917,440.095921700,358.062059783,0.008715787
