value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
32,ctrl,1,20000,57779195,2888.959750
32,real,1,20000,772403861,38620.193050
32,real-minus-control,1,20000,0,35.731233
32,real,2,20000,777283797,38864.189850
32,ctrl,2,20000,57803892,2890.194600
32,real-minus-control,2,20000,0,35.973995
32,ctrl,3,20000,57821914,2891.095700
32,real,3,20000,776953681,38847.684050
32,real-minus-control,3,20000,0,35.956588
32,real,4,20000,776787586,38839.379300
32,ctrl,4,20000,57706290,2885.314500
32,real-minus-control,4,20000,0,35.954065
32,ctrl,5,20000,57787563,2889.378150
32,real,5,20000,776580095,38829.004750
32,real-minus-control,5,20000,0,35.939627
