value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
128,ctrl,1,20000,58593135,2929.656750
128,real,1,20000,839855950,41992.797500
128,real-minus-control,1,20000,0,39.063141
128,real,2,20000,839221017,41961.050850
128,ctrl,2,20000,58518309,2925.915450
128,real-minus-control,2,20000,0,39.035135
128,ctrl,3,20000,58609040,2930.452000
128,real,3,20000,838908189,41945.409450
128,real-minus-control,3,20000,0,39.014957
128,real,4,20000,829097841,41454.892050
128,ctrl,4,20000,58587120,2929.356000
128,real-minus-control,4,20000,0,38.525536
128,ctrl,5,20000,58644495,2932.224750
128,real,5,20000,839838987,41991.949350
128,real-minus-control,5,20000,0,39.059725
