value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
16,ctrl,1,20000,57697332,2884.866600
16,real,1,20000,670926938,33546.346900
16,real-minus-control,1,20000,0,30.661480
16,real,2,20000,671621801,33581.090050
16,ctrl,2,20000,57671216,2883.560800
16,real-minus-control,2,20000,0,30.697529
16,ctrl,3,20000,57667067,2883.353350
16,real,3,20000,671245923,33562.296150
16,real-minus-control,3,20000,0,30.678943
16,real,4,20000,671199629,33559.981450
16,ctrl,4,20000,57647163,2882.358150
16,real-minus-control,4,20000,0,30.677623
16,ctrl,5,20000,57698776,2884.938800
16,real,5,20000,670940231,33547.011550
16,real-minus-control,5,20000,0,30.662073
