map_kind,operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array,array_lookup,control,5,20000,23818688,1190.934400000
array,array_lookup,real,5,20000,52499776,2624.988800000
array,array_lookup,real-minus-control,5,20000,0,1.434054400
array,array_update,control,5,20000,33433408,1671.670400000
array,array_update,real,5,20000,238514944,11925.747200000
array,array_update,real-minus-control,5,20000,0,10.254076800
percpu_array,array_lookup,control,5,20000,24192992,1209.649600000
percpu_array,array_lookup,real,5,20000,64787200,3239.360000000
percpu_array,array_lookup,real-minus-control,5,20000,0,2.029710400
percpu_array,array_update,control,5,20000,17304672,865.233600000
percpu_array,array_update,real,5,20000,307896832,15394.841600000
percpu_array,array_update,real-minus-control,5,20000,0,14.529608000
hash,hash_lookup,control,5,20000,23790336,1189.516800000
hash,hash_lookup,real,5,20000,538540800,26927.040000000
hash,hash_lookup,real-minus-control,5,20000,0,25.737523200
hash,hash_update,control,5,20000,18990432,949.521600000
hash,hash_update,real,5,20000,1845685472,92284.273600000
hash,hash_update,real-minus-control,5,20000,0,91.334752000
percpu_hash,hash_lookup,control,5,20000,24125984,1206.299200000
percpu_hash,hash_lookup,real,5,20000,560496224,28024.811200000
percpu_hash,hash_lookup,real-minus-control,5,20000,0,26.818512000
percpu_hash,hash_update,control,5,20000,19292032,964.601600000
percpu_hash,hash_update,real,5,20000,1335027040,66751.352000000
percpu_hash,hash_update,real-minus-control,5,20000,0,65.786750400
array,array_lookup,real,6,20000,52506880,2625.344000000
array,array_lookup,control,6,20000,23809376,1190.468800000
array,array_lookup,real-minus-control,6,20000,0,1.434875200
array,array_update,real,6,20000,247509248,12375.462400000
array,array_update,control,6,20000,17870336,893.516800000
array,array_update,real-minus-control,6,20000,0,11.481945600
percpu_array,array_lookup,real,6,20000,64789472,3239.473600000
percpu_array,array_lookup,control,6,20000,24197536,1209.876800000
percpu_array,array_lookup,real-minus-control,6,20000,0,2.029596800
percpu_array,array_update,real,6,20000,307853056,15392.652800000
percpu_array,array_update,control,6,20000,17280224,864.011200000
percpu_array,array_update,real-minus-control,6,20000,0,14.528641600
hash,hash_lookup,real,6,20000,539371232,26968.561600000
hash,hash_lookup,control,6,20000,23754656,1187.732800000
hash,hash_lookup,real-minus-control,6,20000,0,25.780828800
hash,hash_update,real,6,20000,1845456864,92272.843200000
hash,hash_update,control,6,20000,18978304,948.915200000
hash,hash_update,real-minus-control,6,20000,0,91.323928000
percpu_hash,hash_lookup,real,6,20000,558931936,27946.596800000
percpu_hash,hash_lookup,control,6,20000,24137792,1206.889600000
percpu_hash,hash_lookup,real-minus-control,6,20000,0,26.739707200
percpu_hash,hash_update,real,6,20000,1335417344,66770.867200000
percpu_hash,hash_update,control,6,20000,19347392,967.369600000
percpu_hash,hash_update,real-minus-control,6,20000,0,65.803497600
array,array_lookup,control,7,20000,23821376,1191.068800000
array,array_lookup,real,7,20000,52504832,2625.241600000
array,array_lookup,real-minus-control,7,20000,0,1.434172800
array,array_update,control,7,20000,17931072,896.553600000
array,array_update,real,7,20000,250120416,12506.020800000
array,array_update,real-minus-control,7,20000,0,11.609467200
percpu_array,array_lookup,control,7,20000,24214848,1210.742400000
percpu_array,array_lookup,real,7,20000,64773984,3238.699200000
percpu_array,array_lookup,real-minus-control,7,20000,0,2.027956800
percpu_array,array_update,control,7,20000,17289632,864.481600000
percpu_array,array_update,real,7,20000,307854976,15392.748800000
percpu_array,array_update,real-minus-control,7,20000,0,14.528267200
hash,hash_lookup,control,7,20000,23756736,1187.836800000
hash,hash_lookup,real,7,20000,543731008,27186.550400000
hash,hash_lookup,real-minus-control,7,20000,0,25.998713600
hash,hash_update,control,7,20000,18963040,948.152000000
hash,hash_update,real,7,20000,1845367328,92268.366400000
hash,hash_update,real-minus-control,7,20000,0,91.320214400
percpu_hash,hash_lookup,control,7,20000,24145408,1207.270400000
percpu_hash,hash_lookup,real,7,20000,560044416,28002.220800000
percpu_hash,hash_lookup,real-minus-control,7,20000,0,26.794950400
percpu_hash,hash_update,control,7,20000,19331072,966.553600000
percpu_hash,hash_update,real,7,20000,1333849280,66692.464000000
percpu_hash,hash_update,real-minus-control,7,20000,0,65.725910400
array,array_lookup,real,8,20000,52518816,2625.940800000
array,array_lookup,control,8,20000,23845984,1192.299200000
array,array_lookup,real-minus-control,8,20000,0,1.433641600
array,array_update,real,8,20000,237944544,11897.227200000
array,array_update,control,8,20000,17885248,894.262400000
array,array_update,real-minus-control,8,20000,0,11.002964800
percpu_array,array_lookup,real,8,20000,64741952,3237.097600000
percpu_array,array_lookup,control,8,20000,36002592,1800.129600000
percpu_array,array_lookup,real-minus-control,8,20000,0,1.436968000
percpu_array,array_update,real,8,20000,307850304,15392.515200000
percpu_array,array_update,control,8,20000,17285888,864.294400000
percpu_array,array_update,real-minus-control,8,20000,0,14.528220800
hash,hash_lookup,real,8,20000,537917280,26895.864000000
hash,hash_lookup,control,8,20000,23810368,1190.518400000
hash,hash_lookup,real-minus-control,8,20000,0,25.705345600
hash,hash_update,real,8,20000,1845314976,92265.748800000
hash,hash_update,control,8,20000,19011936,950.596800000
hash,hash_update,real-minus-control,8,20000,0,91.315152000
percpu_hash,hash_lookup,real,8,20000,559275456,27963.772800000
percpu_hash,hash_lookup,control,8,20000,24150912,1207.545600000
percpu_hash,hash_lookup,real-minus-control,8,20000,0,26.756227200
percpu_hash,hash_update,real,8,20000,1335585024,66779.251200000
percpu_hash,hash_update,control,8,20000,19315584,965.779200000
percpu_hash,hash_update,real-minus-control,8,20000,0,65.813472000
array,array_lookup,control,9,20000,23865280,1193.264000000
array,array_lookup,real,9,20000,52527936,2626.396800000
array,array_lookup,real-minus-control,9,20000,0,1.433132800
array,array_update,control,9,20000,17842144,892.107200000
array,array_update,real,9,20000,238111552,11905.577600000
array,array_update,real-minus-control,9,20000,0,11.013470400
percpu_array,array_lookup,control,9,20000,36041600,1802.080000000
percpu_array,array_lookup,real,9,20000,64932832,3246.641600000
percpu_array,array_lookup,real-minus-control,9,20000,0,1.444561600
percpu_array,array_update,control,9,20000,17284448,864.222400000
percpu_array,array_update,real,9,20000,308175648,15408.782400000
percpu_array,array_update,real-minus-control,9,20000,0,14.544560000
hash,hash_lookup,control,9,20000,23760864,1188.043200000
hash,hash_lookup,real,9,20000,540975648,27048.782400000
hash,hash_lookup,real-minus-control,9,20000,0,25.860739200
