# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 379  of event 'cycles:u'
# Event count (approx.): 616778298
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# ........  ...............  .....................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.26%  helper-map-clos  [JIT] tid 793266       [.] 0x0000ffffad686034
     0.26%  helper-map-clos  libbpftime-agent.so    [.] llvm::MVT::getVectorElementType() const
     0.26%  helper-map-clos  libbpftime-agent.so    [.] llvm::SparseSolver<llvm::PointerIntPair<llvm::Value*, 2u, (anonymous namespace)::IPOGrouping, llvm::PointerLikeTypeTraits<llvm::Value*>, llvm::PointerIntPairInfo<llvm::Value*, 2u, llvm::PointerLikeTypeTraits<llvm::Value*> > >, (anonymous namespace)::CVPLatticeVal, llvm::LatticeKeyInfo<llvm::PointerIntPair<llvm::Value*, 2u, (anonymous namespace)::IPOGrouping, llvm::PointerLikeTypeTraits<llvm::Value*>, llvm::PointerIntPairInfo<llvm::Value*, 2u, llvm::PointerLikeTypeTraits<llvm::Value*> > > > >::visitInst(llvm::Instruction&)
     0.26%  helper-map-clos  libbpftime-agent.so    [.] llvm::RegisterTarget<(llvm::Triple::ArchType)26, false>::getArchMatch(llvm::Triple::ArchType)
     0.26%  helper-map-clos  libbpftime-agent.so    [.] llvm::SCCPInstVisitor::resolvedUndefsIn(llvm::Function&)
     0.26%  helper-map-clos  libbpftime-agent.so    [.] llvm::initializeSelectOptimizePass(llvm::PassRegistry&)
     0.26%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMTopLevelManager::findAnalysisUsage(llvm::Pass*)
     0.26%  helper-map-clos  libbpftime-agent.so    [.] llvm::DenseMap<llvm::Pass*, llvm::AnalysisUsage*, llvm::DenseMapInfo<llvm::Pass*, void>, llvm::detail::DenseMapPair<llvm::Pass*, llvm::AnalysisUsage*> >::grow(unsigned int)
     0.26%  helper-map-clos  libbpftime-agent.so    [.] memset@plt
     0.26%  helper-map-clos  libbpftime-agent.so    [.] llvm::PassRegistry::getPassInfo(void const*) const
     0.26%  helper-map-clos  libbpftime-agent.so    [.] llvm::IntegerType::get(llvm::LLVMContext&, unsigned int)
     0.26%  helper-map-clos  libstdc++.so.6.0.33    [.] malloc@plt
     0.26%  helper-map-clos  libbpftime-agent.so    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > llvm::detail::join_impl<llvm::StringRef*>(llvm::StringRef*, llvm::StringRef*, llvm::StringRef, std::forward_iterator_tag)
     0.26%  helper-map-clos  libbpftime-agent.so    [.] bool llvm::PatternMatch::BinaryOp_match<llvm::PatternMatch::bind_ty<llvm::Value>, llvm::PatternMatch::apint_match, 23u, false>::match<llvm::Value>(unsigned int, llvm::Value*)
     0.26%  helper-map-clos  libbpftime-agent.so    [.] llvm::ValueHandleBase::RemoveFromUseList()
     0.26%  helper-map-clos  libbpftime-agent.so    [.] llvm::InstructionWorklist::push(llvm::Instruction*)
     0.26%  helper-map-clos  libbpftime-agent.so    [.] bool llvm::DenseMapBase<llvm::DenseMap<llvm::APInt, std::unique_ptr<llvm::ConstantInt, std::default_delete<llvm::ConstantInt> >, llvm::DenseMapInfo<llvm::APInt, void>, llvm::detail::DenseMapPair<llvm::APInt, std::unique_ptr<llvm::ConstantInt, std::default_delete<llvm::ConstantInt> > > >, llvm::APInt, std::unique_ptr<llvm::ConstantInt, std::default_delete<llvm::ConstantInt> >, llvm::DenseMapInfo<llvm::APInt, void>, llvm::detail::DenseMapPair<llvm::APInt, std::unique_ptr<llvm::ConstantInt, std::default_delete<llvm::ConstantInt> > > >::LookupBucketFor<llvm::APInt>(llvm::APInt const&, llvm::detail::DenseMapPair<llvm::APInt, std::unique_ptr<llvm::ConstantInt, std::default_delete<llvm::ConstantInt> > > const*&) const
     0.25%  helper-map-clos  libbpftime-agent.so    [.] llvm::propagatesPoison(llvm::Operator const*)
     0.25%  helper-map-clos  libbpftime-agent.so    [.] constantFoldTerminators(llvm::Loop&, llvm::DominatorTree&, llvm::LoopInfo&, llvm::ScalarEvolution&, llvm::MemorySSAUpdater*, bool&)
     0.25%  helper-map-clos  libbpftime-agent.so    [.] llvm::ObjectSizeOffsetVisitor::ObjectSizeOffsetVisitor(llvm::DataLayout const&, llvm::TargetLibraryInfo const*, llvm::LLVMContext&, llvm::ObjectSizeOpts)
     0.25%  helper-map-clos  libbpftime-agent.so    [.] overridePass(void const*, llvm::IdentifyingPassPtr)
     0.25%  helper-map-clos  libbpftime-agent.so    [.] llvm::InstCombinerImpl::SimplifyDemandedUseBits(llvm::Value*, llvm::APInt, llvm::KnownBits&, unsigned int, llvm::Instruction*)
