value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
32,ctrl,1,20000,43467040,2173.352000
32,real,1,20000,232613344,11630.667200
32,real-minus-control,1,20000,0,9.457315
32,real,2,20000,232463264,11623.163200
32,ctrl,2,20000,43425216,2171.260800
32,real-minus-control,2,20000,0,9.451902
32,ctrl,3,20000,43402560,2170.128000
32,real,3,20000,232398720,11619.936000
32,real-minus-control,3,20000,0,9.449808
32,real,4,20000,232037056,11601.852800
32,ctrl,4,20000,43587264,2179.363200
32,real-minus-control,4,20000,0,9.422490
32,ctrl,5,20000,43424192,2171.209600
32,real,5,20000,232442272,11622.113600
32,real-minus-control,5,20000,0,9.450904
