value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
128,ctrl,1,20000,45169664,2258.483200
128,real,1,20000,321940640,16097.032000
128,real-minus-control,1,20000,0,13.838549
128,real,2,20000,322559072,16127.953600
128,ctrl,2,20000,45000352,2250.017600
128,real-minus-control,2,20000,0,13.877936
128,ctrl,3,20000,44377792,2218.889600
128,real,3,20000,322221728,16111.086400
128,real-minus-control,3,20000,0,13.892197
128,real,4,20000,322488352,16124.417600
128,ctrl,4,20000,45048000,2252.400000
128,real-minus-control,4,20000,0,13.872018
128,ctrl,5,20000,44698752,2234.937600
128,real,5,20000,322165664,16108.283200
128,real-minus-control,5,20000,0,13.873346
