# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 5367017878
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .....................  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     1.45%  helper-hash-clo  libbpftime-agent.so    [.] void spdlog::logger::log_<int const&>(spdlog::source_loc, spdlog::level::level_enum, fmt::v11::basic_string_view<char>, int const&)
     0.84%  helper-hash-clo  libbpftime-agent.so    [.] boost::unordered::detail::prime_fmod_size<void>::position(unsigned long, unsigned long)
     0.82%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::fix_size_hash_map_impl::elem_lookup(void const*)
     0.55%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::bpf_map_handler::map_lookup_elem(void const*, bool) const
     0.48%  helper-hash-clo  libc.so.6              [.] __aarch64_swp4_acq
     0.48%  helper-hash-clo  libc.so.6              [.] __memcpy_generic
     0.42%  helper-hash-clo  libc.so.6              [.] __memmove_generic
     0.39%  helper-hash-clo  libbpftime-agent.so    [.] spdlog::default_logger_raw()
     0.35%  helper-hash-clo  libc.so.6              [.] memcmp
     0.32%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::bpftime_shm::bpf_map_lookup_elem(int, void const*, bool) const [clone .constprop.0]


#
# (Cannot load tips.txt file, please install perf!)
#
