environment,case,run1_net_ns_per_helper,run2_net_ns_per_helper,run3_net_ns_per_helper,run4_net_ns_per_helper,run5_net_ns_per_helper,mean_net_ns_per_helper,median_net_ns_per_helper,stdev_net_ns_per_helper,min_net_ns_per_helper,max_net_ns_per_helper
kernel,__bench_array_map_lookup,2.76595146,2.7617432,2.76336136,2.7652763300000003,2.7660227000000006,2.7644710100000003,2.7652763300000003,0.0018654948994570675,2.7617432,2.7660227000000006
kernel,__bench_array_map_update,34.23775096,34.35506824,34.198685229999995,34.36897335,34.25066323,34.282228202,34.25066323,0.07547249916569614,34.198685229999995,34.36897335
kernel,__bench_hash_map_lookup,51.095721319999996,50.95105195,51.10230865,51.09702251,51.10938898,51.071098682,51.09702251,0.06732337270150296,50.95105195,51.10938898
kernel,__bench_hash_map_update,130.25184548000001,130.24274013,130.27330752999998,130.2696161,130.30767275999997,130.2690364,130.2696161,0.02499184098847988,130.24274013,130.30767275999997
bpftime,__bench_array_map_lookup,13.41566573,13.40755455,13.45617003,13.41742333,13.419539349999999,13.423270598,13.41742333,0.01894276618302885,13.40755455,13.45617003
bpftime,__bench_array_map_update,18.54787489,18.551042709999997,18.569048250000005,18.54254352,18.66153416,18.574408706,18.551042709999997,0.04971162455261966,18.54254352,18.66153416
bpftime,__bench_hash_map_lookup,80.09041583,80.84122225,80.64431452,76.13892498999999,75.35941985000001,78.614859488,80.09041583,2.6448432972671014,75.35941985000001,80.84122225
bpftime,__bench_hash_map_update,86.63081799,89.19050882,87.59450883,81.46412824000001,79.78104798,84.932202372,86.63081799,4.082532126461739,79.78104798,89.19050882
