value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
32,ctrl,1,20000,43349568,2167.478400
32,real,1,20000,232050496,11602.524800
32,real-minus-control,1,20000,0,9.435046
32,real,2,20000,231794048,11589.702400
32,ctrl,2,20000,43406368,2170.318400
32,real-minus-control,2,20000,0,9.419384
32,ctrl,3,20000,43372480,2168.624000
32,real,3,20000,231646304,11582.315200
32,real-minus-control,3,20000,0,9.413691
32,real,4,20000,231715872,11585.793600
32,ctrl,4,20000,43356864,2167.843200
32,real-minus-control,4,20000,0,9.417950
32,ctrl,5,20000,43371104,2168.555200
32,real,5,20000,231794464,11589.723200
32,real-minus-control,5,20000,0,9.421168
