environment,case,definition,mean,median,stdev,min,max,run1,run2,run3,run4,run5
kernel,array_lookup,"percpu net - ordinary net, same victim run",0.6152408320000001,0.6174060800000006,0.005673283224546443,0.6087328000000002,0.620424,0.6200399999999999,0.620424,0.6174060800000006,0.6096012799999999,0.6087328000000002
kernel,array_update,"percpu net - ordinary net, same victim run",3.494936959999999,3.4923126399999984,0.016362954677343812,3.474764799999999,3.5203791999999994,3.4953993600000013,3.4923126399999984,3.5203791999999994,3.4918287999999973,3.474764799999999
kernel,hash_lookup,"percpu net - ordinary net, same victim run",-0.07202476799999931,-0.09913088000000062,0.12008909252538291,-0.1806796800000011,0.10510048000000097,0.10510048000000097,-0.1806796800000011,-0.17306879999999727,-0.09913088000000062,-0.012344959999998536
kernel,hash_update,"percpu net - ordinary net, same victim run",-26.80374112000001,-26.955041600000012,0.3723454375294548,-27.01271680000001,-26.139499840000003,-26.955041600000012,-26.93857792000001,-26.139499840000003,-26.97286944000001,-27.01271680000001
bpftime,array_lookup,"percpu net - ordinary net, same victim run",8.733360320000001,8.675883840000003,0.12999171782661148,8.604310400000001,8.895023360000001,8.895023360000001,8.64286016,8.848723839999996,8.675883840000003,8.604310400000001
bpftime,array_update,"percpu net - ordinary net, same victim run",47.4795024,47.53456448,0.09652809795586052,47.35118016,47.57177824,47.402627519999996,47.53456448,47.57177824,47.5373616,47.35118016
bpftime,hash_lookup,"percpu net - ordinary net, same victim run",93.36769081599999,93.52216991999998,0.34980012134319777,92.87119200000001,93.71035648,93.59280703999998,93.52216991999998,93.71035648,92.87119200000001,93.14192863999999
bpftime,hash_update,"percpu net - ordinary net, same victim run",174.345238208,174.38969568000002,0.5199512894129513,173.69620895999998,174.903048,174.78451392,173.69620895999998,174.903048,173.95272448,174.38969568000002
