environment,case,kind,mean,median,stdev,min,max,run1,run2,run3,run4,run5
kernel,array_lookup,ordinary,2.564185088,2.56318944,0.0054850866090812135,2.55833312,2.5729436800000003,2.56504192,2.55833312,2.5614172799999997,2.5729436800000003,2.56318944
kernel,array_lookup,percpu,3.17942592,3.1788233600000004,0.004970772878979596,3.1719222400000002,3.18508192,3.18508192,3.1787571199999998,3.1788233600000004,3.18254496,3.1719222400000002
kernel,array_update,ordinary,11.858397632,11.85837152,0.010861240098567463,11.8420992,11.870556800000001,11.8654656,11.870556800000001,11.85549504,11.8420992,11.85837152
kernel,array_update,percpu,15.353334592,15.36086496,0.018975256950848837,15.33313632,15.37587424,15.36086496,15.362869439999999,15.37587424,15.333927999999998,15.33313632
kernel,hash_lookup,ordinary,27.775851776,27.80782112,0.10131714125815282,27.64955008,27.866848320000003,27.64955008,27.866848320000003,27.866403199999997,27.80782112,27.688636159999998
kernel,hash_lookup,percpu,27.703827008,27.6933344,0.030768563375061113,27.6762912,27.75465056,27.75465056,27.686168639999998,27.6933344,27.70869024,27.6762912
kernel,hash_update,ordinary,93.327034944,93.341912,0.027872843394265847,93.27785824,93.34206208,93.34206208,93.27785824,93.33136191999999,93.341912,93.34198048
kernel,hash_update,percpu,66.52329382399999,66.36904255999998,0.37445161773467167,66.32926367999998,67.19186207999999,66.38702047999999,66.33928031999999,67.19186207999999,66.36904255999998,66.32926367999998
bpftime,array_lookup,ordinary,12.88307328,12.90125184,0.06310656312685128,12.7987968,12.94624832,12.93197632,12.90125184,12.94624832,12.7987968,12.837093119999999
bpftime,array_lookup,percpu,21.6164336,21.544112000000002,0.1817786675146216,21.44140352,21.82699968,21.82699968,21.544112000000002,21.794972159999997,21.474680640000003,21.44140352
bpftime,array_update,ordinary,16.461580608,16.426424,0.05942474473312361,16.40415776,16.527051519999997,16.524823679999997,16.42544608,16.527051519999997,16.40415776,16.426424
bpftime,array_update,percpu,63.941083008,63.94151936,0.11418585762594248,63.777604159999996,64.09882976,63.92745119999999,63.96001056,64.09882976,63.94151936,63.777604159999996
bpftime,hash_lookup,ordinary,54.69012096,54.60821888,0.25933613672940603,54.372278720000004,54.980147519999996,54.60821888,54.372278720000004,54.55636,54.980147519999996,54.93359968
bpftime,hash_lookup,percpu,148.057811776,148.07552832,0.18288223603440135,147.85133952,148.26671648,148.20102591999998,147.89444863999998,148.26671648,147.85133952,148.07552832
bpftime,hash_update,ordinary,51.610533056,51.64721824,0.11769397982244595,51.45746752,51.74265888,51.68344224,51.74265888,51.64721824,51.52187839999999,51.45746752
bpftime,hash_update,percpu,225.955771264,225.8471632,0.5306282877989266,225.43886784,226.55026623999998,226.46795616,225.43886784,226.55026623999998,225.47460288,225.8471632
