mode,mean,median,sample_sd,min,max
base,73.564471360,73.602921600,0.556355011,72.816606400,74.158784000
percpu_array_direct,28.005449600,27.987729600,0.046178960,27.972169600,28.084780800
percpu_array_fixed_cpu,24.844525760,24.815884800,0.058619111,24.786008000,24.913075200
percpu_array_update_address_only,26.437267840,26.315668800,0.348227232,26.176388800,27.046484800
percpu_array_update_fixed_cpu_address_only,22.965681600,22.963611200,0.041220921,22.914569600,23.010929600
percpu_array_update_no_address,24.241755520,24.264465600,0.068006090,24.152803200,24.310537600
percpu_array_update_fixed_cpu_no_address,21.178086400,21.151467200,0.086698679,21.120299200,21.331342400
percpu_array_update_no_body,19.594276480,19.569804800,0.062998537,19.551161600,19.704843200
