case,kernel_median_net_ns_per_helper,bpftime_median_net_ns_per_helper,bpftime_minus_kernel_ns_per_helper,bpftime_over_kernel,lower_cost_path
__bench_array_map_lookup,2.7572680900000006,13.393168820000001,10.635900730000001,4.857405367499102,kernel
__bench_array_map_update,34.131878289999996,18.547469569999997,-15.584408719999999,0.5434060619931971,bpftime
__bench_hash_map_lookup,49.94841100000001,77.50065551,27.552244509999994,1.5516140345285456,kernel
__bench_hash_map_update,129.10803506,83.21846395,-45.88957110999999,0.644564561077288,bpftime
