quantity,ns_per_helper,formula,interpretation
matched_full_hash_gap,27.119708373,(hash_hit-empty)_bpftime - (hash_hit-empty)_kernel,complete hash-hit top-level gap
matched_nonhelper_gap,-0.395654827,(loop-empty)_bpftime - (loop-empty)_kernel,loop/key-stack path; no helper
matched_hash-helper_gap,27.515363200,(hash_hit-loop)_bpftime - (hash_hit-loop)_kernel,hash helper-containing path
reconstructed_full_gap,27.119708373,matched_nonhelper_gap + matched_hash-helper_gap,algebraic closure
closure_error,0.000000000,matched_full_hash_gap - reconstructed_full_gap,should be zero within rounding
