component,kernel_mean_ns_per_helper,bpftime_mean_ns_per_helper,bpftime_minus_kernel_mean,gap_median,gap_sample_sd,gap_min,gap_max
nonhelper_loop,1.198992427,0.803337600,-0.395654827,-0.398704480,0.007625209,-0.402091200,-0.383873600
simple_helper,0.731099680,3.325884480,2.594784800,2.598772640,0.016726776,2.570074560,2.610360000
array_lookup,1.371723147,12.156511253,10.784788107,10.644317120,0.364692383,10.595256320,11.525474560
hash_hit,26.396590347,53.911953547,27.515363200,27.505427680,0.181057237,27.331443200,27.804236160
hash_miss,25.197943840,182.947047360,157.749103520,157.479206880,0.642714309,157.210284800,158.618822400
hash_miss_minus_hit,-1.198646507,129.035093813,130.233740320,129.968734880,0.801701826,129.410377600,131.268583040
full_hash_hit,27.595582773,54.715291147,27.119708373,27.110762560,0.182730573,26.934595200,27.402450240
