value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
128,ctrl,1,20000,40734392,2036.719600
128,real,1,20000,812476235,40623.811750
128,real-minus-control,1,20000,0,38.587092
128,real,2,20000,815891907,40794.595350
128,ctrl,2,20000,40814391,2040.719550
128,real-minus-control,2,20000,0,38.753876
128,ctrl,3,20000,40814104,2040.705200
128,real,3,20000,808344301,40417.215050
128,real-minus-control,3,20000,0,38.376510
128,real,4,20000,802231409,40111.570450
128,ctrl,4,20000,40868003,2043.400150
128,real-minus-control,4,20000,0,38.068170
128,ctrl,5,20000,40826964,2041.348200
128,real,5,20000,813149931,40657.496550
128,real-minus-control,5,20000,0,38.616148
