value_size,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
256,ctrl,1,20000,41878676,2093.933800
256,real,1,20000,943365625,47168.281250
256,real-minus-control,1,20000,0,45.074347
256,real,2,20000,943062205,47153.110250
256,ctrl,2,20000,41930125,2096.506250
256,real-minus-control,2,20000,0,45.056604
256,ctrl,3,20000,41912704,2095.635200
256,real,3,20000,943338210,47166.910500
256,real-minus-control,3,20000,0,45.071275
256,real,4,20000,943548167,47177.408350
256,ctrl,4,20000,41930753,2096.537650
256,real-minus-control,4,20000,0,45.080871
256,ctrl,5,20000,41901873,2095.093650
256,real,5,20000,942876034,47143.801700
256,real-minus-control,5,20000,0,45.048708
